decoyID	mean_phylop	max_phylop	fraction_constrained	fraction_constrained_p01	sum_positive_phylop
ANKRD26_27067151_C	0.377500	2.005000	0.120690	0.017241	34.532000
ANKRD26_27077332_C	0.130914	2.404000	0.103448	0.017241	27.362000
ANKRD30A_37126003_C	-0.048897	1.089000	0.000000	0.000000	15.508000
ANKRD30A_37142285_C	-0.094862	0.598000	0.000000	0.000000	13.209000
ANKRD30A_37199645_P	-0.160020	0.847000	0.000000	0.000000	11.749000
ANKRD30A_37303078_P	-0.564878	0.710000	0.000000	0.000000	2.840000
ANTXRL_46287505_C	-0.026155	2.219000	0.206897	0.068966	33.455000
ANTXRL_46292124_C	0.139655	3.242000	0.155172	0.051724	32.250000
ANTXRL_46310940_P	-0.598918	1.341000	0.040816	0.000000	9.066000
ANTXRL_46312198_P	-0.561306	0.883000	0.000000	0.000000	6.371000
APBB1IP_26438848_C	-0.086776	1.851000	0.103448	0.000000	21.029000
APBB1IP_26493451_P	-1.279286	-1.135000	0.000000	0.000000	0.000000
ARHGAP12_31810643_C	47.496574	321.616000	0.361702	0.361702	5053.129000
ARHGAP12_31814253_C	100.003528	321.616000	0.500000	0.500000	5630.824000
ARHGAP12_31820762_P	-0.018306	1.628000	0.020408	0.000000	16.419000
ARHGAP12_31844461_P	-0.129592	0.801000	0.000000	0.000000	13.008000
ARHGAP21_24596734_C	16.834129	321.616000	0.516129	0.516129	3271.898000
ARHGAP21_24597826_P	-0.144367	0.785000	0.000000	0.000000	8.444000
ARHGAP21_24607902_P	54.828657	321.616000	0.314286	0.314286	3052.479000
ARHGAP21_24619467_C	182.848824	321.616000	0.705882	0.705882	3511.471000
ARHGAP21_24633798_P	-0.138735	1.531000	0.020408	0.000000	13.466000
ARHGAP21_24723556_C	0.084914	1.702000	0.017241	0.000000	20.527000
ARL5B_18666253_P	-0.288857	1.173000	0.000000	0.000000	9.595000
ARL5B_18666630_C	-71.427130	321.616000	0.203704	0.203704	3506.222000
ARL5B_18674130_C	7.543944	321.616000	0.259259	0.259259	4475.406000
ARL5B_18674331_P	-0.001082	1.287000	0.000000	0.000000	15.880000
ARMC3_22928101_C	-0.100966	2.284000	0.120690	0.103448	23.822000
ARMC3_22932039_C	1.538345	3.098000	0.500000	0.396552	92.489000
ARMC3_23007921_P	-0.928939	-0.630000	0.000000	0.000000	0.000000
ARMC3_23034781_P	0.168551	1.299000	0.000000	0.000000	20.492000
ARMC4_27836574_P	0.080286	1.121000	0.000000	0.000000	18.637000
ARMC4_27935372_P	-0.081490	0.904000	0.000000	0.000000	13.138000
ARMC4_27944216_C	39.327571	321.616000	0.285714	0.285714	4463.088000
ARMC4_27944344_P	10.138457	321.616000	0.413043	0.413043	5239.381000
ARMC4_27944502_P	-144.639184	321.102000	0.265306	0.265306	4114.545000
ARMC4_27983837_C	-32.462026	321.616000	0.447368	0.447368	3593.926000
ARMC4_27994913_C	44.089300	321.616000	0.520000	0.520000	7001.253000
ARMC4_27998988_C	-0.506345	1.602000	0.017241	0.000000	9.635000
ASAH2_50205976_C	76.087655	321.616000	0.344828	0.344828	2987.466000
ASAH2_50211024_C	38.049849	321.616000	0.339623	0.339623	3900.738000
ASAH2_50214867_P	-20.785242	321.616000	0.454545	0.454545	3854.391000
ASAH2_50215139_P	0.055429	0.568000	0.000000	0.000000	14.200000
ASAH2_50217092_P	-0.695816	-0.417000	0.000000	0.000000	0.000000
ASAH2_50248478_C	0.895207	2.821000	0.344828	0.172414	58.119000
BICC1_58796521_C	4.255714	321.616000	0.404762	0.404762	4466.827000
BICC1_58798907_P	187.183612	321.801000	0.795918	0.795918	12389.257000
BICC1_58799964_P	-0.298449	0.633000	0.000000	0.000000	5.064000
BICC1_58806618_C	53.662880	321.616000	0.600000	0.560000	5166.134000
BMS1_42785667_C	17.319351	321.616000	0.315789	0.315789	4456.249000
BMS1_42790113_P	-0.170531	1.447000	0.040816	0.000000	14.150000
BMS1_42790506_C	67.025068	321.616000	0.500000	0.500000	5425.028000
BMS1_42793986_C	-25.822241	321.616000	0.314815	0.314815	4434.426000
BMS1_42796182_P	-0.013653	1.381000	0.040816	0.000000	18.000000
BMS1_42817489_C	52.231895	321.616000	0.385965	0.385965	4919.660000
BMS1_42820305_P	11.002565	321.616000	0.413043	0.413043	4953.508000
BMS1_42830134_P	0.214082	2.433000	0.081633	0.020408	22.587000
C10orf128_49165870_P	-0.841143	2.279000	0.020408	0.020408	5.010000
C10orf128_49167903_C	0.108655	2.890000	0.206897	0.137931	36.162000
C1QL3_16519129_P	-0.041837	1.583000	0.040816	0.000000	15.389000
C1QL3_16520472_C	37.813127	321.616000	0.545455	0.454545	4693.132000
CACNB2_18273334_P	0.023347	2.491000	0.040816	0.020408	18.643000
CACNB2_18536191_C	3.328490	321.616000	0.326531	0.326531	4714.905000
CAMK1D_12653309_P	-0.309367	0.695000	0.000000	0.000000	7.645000
CAMK1D_12824547_C	55.648000	321.616000	0.484848	0.484848	2992.253000
CCDC3_12933929_P	-0.857571	-0.698000	0.000000	0.000000	0.000000
CCDC3_12980327_P	0.232184	2.033000	0.163265	0.040816	26.877000
CCDC3_13099078_C	-0.038052	0.933000	0.000000	0.000000	15.925000
CCDC3_13099500_C	-0.479224	1.475000	0.034483	0.000000	9.490000
CCDC6_59852547_C	18.702059	321.616000	0.313725	0.313725	5069.582000
CCDC6_59859179_P	-0.366184	1.342000	0.061224	0.000000	9.469000
CCDC7_32446248_P	-0.026286	1.805000	0.102041	0.000000	23.041000
CCDC7_32446392_C	-0.610897	1.805000	0.051724	0.000000	18.702000
CCDC7_32451916_C	0.625328	2.850000	0.258621	0.137931	47.093000
CCDC7_32560950_P	-2.030837	-1.897000	0.000000	0.000000	0.000000
CCNY_35247125_C	-0.189862	1.926000	0.017241	0.000000	19.767000
CCNY_35316440_P	-0.065327	0.896000	0.000000	0.000000	15.186000
CCNY_35375831_P	-0.322204	1.198000	0.000000	0.000000	10.635000
CCNY_35516618_C	16.658870	321.616000	0.370370	0.370370	5093.209000
CDC123_12238480_C	-5.421538	321.616000	0.365385	0.365385	5950.020000
CDC123_12238787_P	-0.952837	-0.630000	0.000000	0.000000	0.000000
CDC123_12245955_P	-0.158837	0.365000	0.000000	0.000000	10.585000
CDC123_12246272_C	78.524375	321.616000	0.625000	0.625000	4772.922000
CDNF_14820946_P	-0.989388	-0.891000	0.000000	0.000000	0.000000
CDNF_14824842_P	0.027102	2.338000	0.040816	0.020408	16.794000
CDNF_14825473_C	-19.811393	321.616000	0.250000	0.250000	3189.293000
CDNF_14836245_C	0.210517	1.486000	0.068966	0.000000	26.247000
CHAT_49621856_P	-0.269878	1.276000	0.000000	0.000000	8.734000
CHAT_49649631_C	29.971389	321.616000	0.574074	0.574074	4135.667000
CREM_35127562_C	-0.281862	1.495000	0.017241	0.000000	12.608000
CREM_35187538_P	-0.233429	0.578000	0.000000	0.000000	6.936000
CSGALNACT2_43138562_C	0.068879	1.831000	0.034483	0.000000	24.343000
CSGALNACT2_43155805_C	22.807229	321.616000	0.457143	0.457143	3806.316000
CSGALNACT2_43157159_P	0.406224	2.480000	0.142857	0.061224	32.997000
CSGALNACT2_43159961_P	0.320245	1.730000	0.102041	0.000000	25.120000
CUBN_16836229_C	-25.185313	321.616000	0.437500	0.437500	4241.330000
CUBN_16840324_C	-4.121229	319.100000	0.270833	0.270833	3473.340000
CUBN_16847956_P	0.180429	1.640000	0.040816	0.000000	22.003000
CUBN_16890365_C	59.135000	321.616000	0.517241	0.517241	4693.202000
CUBN_16915815_C	-3.120021	321.616000	0.382979	0.382979	4764.232000
CUBN_16921510_P	-0.527939	0.792000	0.000000	0.000000	4.360000
CUBN_16928544_P	-0.285939	0.573000	0.000000	0.000000	10.314000
CUBN_16951664_P	0.100755	2.467000	0.102041	0.040816	24.321000
CUBN_16995869_P	-0.073347	1.504000	0.020408	0.000000	13.908000
CUBN_17084265_C	-1.603080	321.616000	0.220000	0.220000	3488.194000
CUBN_17103119_C	-3.613979	321.616000	0.297872	0.297872	4404.014000
CUBN_17104559_P	11.445116	321.616000	0.325581	0.325581	4299.278000
CUBN_17115857_P	0.604388	2.737000	0.306122	0.081633	41.348000
CUBN_17122789_C	-17.129545	321.616000	0.236364	0.236364	4065.132000
CUBN_17123040_P	0.162551	2.395000	0.040816	0.020408	22.530000
CUBN_17129638_C	0.630862	3.296000	0.293103	0.224138	54.363000
CUL2_35016186_C	57.534275	321.616000	0.372549	0.372549	6041.736000
CUL2_35028804_C	-4.087220	321.616000	0.414634	0.414634	4738.472000
CUL2_35061254_P	-0.073122	0.995000	0.000000	0.000000	13.858000
CUL2_35071445_P	0.107082	0.734000	0.000000	0.000000	13.571000
CUL2_35087855_P	-0.022673	1.311000	0.040816	0.000000	16.782000
CUL2_35090424_C	0.334517	2.307000	0.155172	0.086207	36.575000
CXCL12_44380757_C	1.382500	3.924000	0.482759	0.431034	94.845000
CXCL12_44383826_P	-0.729673	1.551000	0.020408	0.000000	7.461000
DCLRE1C_14922975_C	-3.316975	321.616000	0.400000	0.400000	3509.959000
DCLRE1C_14925455_P	-0.151571	1.540000	0.061224	0.000000	15.724000
DCLRE1C_14926837_C	26.177152	321.616000	0.484848	0.484848	4168.563000
DCLRE1C_14927218_P	-0.889857	-0.633000	0.000000	0.000000	0.000000
DIP2C_281194_C	-18.069293	321.616000	0.189655	0.189655	3457.036000
DIP2C_327942_P	-0.755714	1.439000	0.020408	0.000000	4.602000
DIP2C_387739_C	-9.644317	321.616000	0.268293	0.268293	3377.820000
DIP2C_676732_P	-0.922041	-0.634000	0.000000	0.000000	0.000000
DNAJC1_21758803_P	-0.851020	0.741000	0.000000	0.000000	2.396000
DNAJC1_21918773_C	-3.738622	321.616000	0.422222	0.422222	4716.695000
DRGX_49380580_P	-0.150143	1.556000	0.020408	0.000000	15.157000
DRGX_49391158_C	-117.992673	321.616000	0.057692	0.057692	940.284000
ENKUR_24984552_P	0.109265	1.711000	0.122449	0.000000	22.102000
ENKUR_25015854_C	1.072017	3.468000	0.379310	0.275862	69.837000
ERCC6_49470176_C	12.132442	321.616000	0.325581	0.325581	3987.403000
ERCC6_49477214_P	-0.082245	1.418000	0.102041	0.000000	14.606000
ERCC6_49490263_P	0.258367	2.132000	0.163265	0.020408	26.366000
ERCC6_49538956_C	0.156724	2.397000	0.172414	0.068966	33.245000
FAM13C_59252793_C	-34.958490	321.616000	0.254902	0.254902	4092.042000
FAM13C_59255650_P	-0.146020	1.340000	0.081633	0.000000	14.204000
FAM13C_59262428_C	21.020333	321.616000	0.355556	0.355556	4768.273000
FAM13C_59310086_P	0.277612	2.627000	0.061224	0.020408	26.591000
FAM13C_59341456_P	-0.198408	0.505000	0.000000	0.000000	7.575000
FAM13C_59362393_C	1.882086	3.607000	0.655172	0.379310	110.298000
FAM171A1_15221243_P	-0.066959	1.356000	0.040816	0.000000	14.663000
FAM171A1_15370950_C	0.687500	2.109000	0.120690	0.068966	45.355000
FAM208B_5685170_C	-0.111603	2.319000	0.051724	0.034483	26.470000
FAM208B_5712543_P	1.439429	3.674000	0.448980	0.387755	76.064000
FAM208B_5712678_P	0.366020	1.967000	0.122449	0.000000	28.480000
FAM208B_5712913_C	1.355310	3.029000	0.465517	0.344828	84.029000
FAM208B_5720543_P	150.688838	321.616000	0.621622	0.621622	7187.948000
FAM208B_5720965_C	0.959241	4.093000	0.344828	0.258621	67.753000
FAM208B_5725215_P	-1.107898	-0.643000	0.000000	0.000000	0.000000
FAM208B_5726952_C	0.949414	3.893000	0.327586	0.258621	72.633000
FAM208B_5735541_C	1.127414	3.600000	0.413793	0.275862	74.282000
FAM208B_5740908_P	-0.051939	1.687000	0.020408	0.000000	17.117000
FAM208B_5753352_P	-0.110898	0.497000	0.000000	0.000000	12.425000
FAM208B_5756733_C	-10.455057	321.616000	0.485714	0.485714	5051.713000
FAM208B_5757399_P	-0.210918	1.148000	0.000000	0.000000	10.914000
FAM208B_5758987_C	27.195312	321.616000	0.625000	0.625000	4842.595000
FRMPD2_48170846_P	-0.028571	2.668000	0.102041	0.020408	18.360000
FRMPD2_48170988_C	0.707103	3.879000	0.327586	0.258621	61.458000
FRMPD2_48197023_P	0.331184	2.094000	0.102041	0.020408	27.404000
FRMPD2_48232109_C	33.995824	321.616000	0.431373	0.431373	4762.873000
GAD2_26219003_P	260.448077	318.798000	0.846154	0.846154	3430.962000
GAD2_26268870_P	-0.203429	1.552000	0.020408	0.000000	12.826000
GAD2_26270751_C	7.489093	321.616000	0.314815	0.314815	5393.252000
GAD2_26281082_C	22.716933	321.616000	0.511111	0.511111	4692.194000
GATA3_8055891_C	83.790389	321.616000	0.611111	0.611111	3667.252000
GATA3_8069350_P	222.311822	321.801000	0.866667	0.866667	11934.653000
GDF10_47310716_C	-3.022255	321.616000	0.400000	0.400000	3589.770000
GDF10_47311487_P	0.618429	2.536000	0.224490	0.061224	39.379000
GDI2_5766488_C	71.872364	321.616000	0.400000	0.400000	5894.030000
GDI2_5768579_P	0.048020	1.282000	0.000000	0.000000	15.854000
GDI2_5774028_P	0.049612	1.511000	0.040816	0.000000	20.604000
GDI2_5800592_C	-24.300982	321.616000	0.214286	0.214286	3677.146000
GPR158_25324831_P	-0.924224	-0.417000	0.000000	0.000000	0.000000
GPR158_25594392_C	-34.149500	321.616000	0.480000	0.240000	3520.734000
GTPBP4_1008671_P	-0.141286	1.930000	0.020408	0.000000	15.473000
GTPBP4_1009221_P	-0.397367	1.077000	0.000000	0.000000	7.347000
GTPBP4_988522_C	-77.431310	321.801000	0.379310	0.379310	6992.317000
GTPBP4_992393_P	0.038939	0.829000	0.000000	0.000000	12.359000
GTPBP4_992654_C	-0.667536	321.616000	0.357143	0.250000	4473.516000
GTPBP4_999090_C	25.778038	321.616000	0.566038	0.566038	5018.217000
HACD1_17592432_P	-0.233265	1.005000	0.000000	0.000000	8.634000
HACD1_17603924_C	21.150020	321.616000	0.333333	0.333333	5413.226000
HACD1_17613435_P	-0.323816	1.835000	0.020408	0.000000	11.169000
HACD1_17617077_C	1.100293	3.677000	0.413793	0.258621	73.934000
HSPA14_14867904_C	161.666205	321.616000	0.717949	0.717949	7254.454000
HSPA14_14869979_P	0.317490	1.596000	0.102041	0.000000	27.382000
IL2RA_6020039_P	-0.508388	0.959000	0.000000	0.000000	5.800000
IL2RA_6062082_C	0.207483	3.004000	0.155172	0.137931	36.006000
ITGA8_15531044_C	1.231483	3.852000	0.431034	0.327586	79.480000
ITGA8_15607671_C	-21.627978	321.616000	0.355556	0.355556	4857.236000
ITGA8_15621694_P	-0.197143	1.760000	0.020408	0.000000	13.417000
ITGA8_15672432_P	-0.211694	1.612000	0.020408	0.000000	13.375000
ITGB1_32910291_P	8.831911	321.616000	0.444444	0.444444	6215.270000
ITGB1_32920239_C	16.915164	321.616000	0.272727	0.272727	4737.818000
ITIH2_7703513_C	1.193155	4.331000	0.396552	0.293103	78.980000
ITIH2_7704923_P	-0.463714	0.573000	0.000000	0.000000	4.584000
ITIH2_7705177_C	0.654121	3.212000	0.275862	0.172414	52.642000
ITIH2_7709021_P	9.903816	319.100000	0.236842	0.236842	2793.324000
ITIH2_7709186_C	112.383371	321.616000	0.600000	0.600000	4277.172000
ITIH2_7709529_P	-0.279796	2.074000	0.061224	0.020408	10.797000
ITIH2_7717783_C	56.231040	321.616000	0.400000	0.320000	4425.797000
ITIH2_7723317_P	-0.490408	1.501000	0.020408	0.000000	7.095000
ITIH2_7723562_C	137.319034	321.616000	0.586207	0.586207	5032.413000
ITIH2_7726554_P	-0.030653	1.265000	0.000000	0.000000	16.363000
ITIH2_7728300_P	0.157469	2.102000	0.122449	0.020408	24.590000
ITIH2_7730128_C	38.108982	321.616000	0.563636	0.563636	4725.841000
ITIH2_7731404_P	0.213347	2.047000	0.102041	0.020408	22.223000
ITIH2_7734717_P	-0.101122	0.798000	0.000000	0.000000	12.234000
ITIH2_7738753_C	0.626138	3.650000	0.362069	0.293103	63.956000
ITIH2_7744275_C	27.495585	321.616000	0.317073	0.317073	3413.572000
ITIH2_7744820_P	64.321421	321.616000	0.578947	0.578947	3463.736000
ITIH2_7744958_C	49.017872	321.616000	0.384615	0.384615	3860.244000
ITIH5_7569662_C	-40.919565	321.616000	0.478261	0.478261	2314.294000
ITIH5_7571982_P	-0.109429	2.670000	0.081633	0.020408	15.452000
ITIH5_7576447_C	19.178500	321.616000	0.229167	0.229167	3456.362000
ITIH5_7591853_P	-0.215510	1.050000	0.000000	0.000000	10.052000
KIAA1217_24449759_C	1.279017	4.617000	0.362069	0.241379	80.700000
KIAA1217_24475387_P	0.134612	1.598000	0.061224	0.000000	20.415000
KIAA1217_24520345_P	-0.411041	1.465000	0.020408	0.000000	6.710000
KIAA1217_24531988_C	-59.127179	321.616000	0.282051	0.282051	2253.400000
KIAA1217_24536888_C	-64.481270	321.616000	0.324324	0.324324	3743.624000
KIAA1217_24541766_P	-0.058306	2.022000	0.061224	0.040816	17.816000
KIF5B_32015881_P	-0.033163	0.721000	0.000000	0.000000	10.787000
KIF5B_32017137_C	-2.994836	321.616000	0.236364	0.236364	3358.104000
KIF5B_32020106_P	-0.582408	1.026000	0.000000	0.000000	5.604000
KIF5B_32022134_C	-5.406855	321.616000	0.236364	0.236364	3281.899000
KIF5B_32035884_C	48.637151	321.616000	0.320755	0.320755	5390.880000
KIF5B_32036159_P	31.468361	319.100000	0.305556	0.305556	3431.548000
KIF5B_32038498_P	-0.064959	1.386000	0.020408	0.000000	15.506000
KIF5B_32055842_C	-12.951600	321.616000	0.240000	0.240000	3770.524000
KIN_7761390_P	-0.212980	1.554000	0.020408	0.000000	15.147000
KIN_7762451_C	-93.789106	321.616000	0.127660	0.127660	1900.004000
KLF6_3780100_C	-16.245232	321.616000	0.285714	0.285714	4794.843000
KLF6_3780440_P	-0.233122	1.250000	0.000000	0.000000	10.164000
KLF6_3781635_C	-19.521815	321.616000	0.314815	0.314815	3428.263000
KLF6_3783552_P	-0.060776	1.397000	0.040816	0.000000	16.650000
KLF6_3784597_P	69.717111	319.100000	0.407407	0.407407	3435.416000
KLF6_3784907_C	39.107702	321.616000	0.333333	0.333333	6021.864000
MALRD1_19327668_C	160.772816	321.801000	0.755102	0.755102	11675.247000
MALRD1_19389020_P	-0.085551	2.152000	0.061224	0.020408	17.224000
MALRD1_19491640_C	0.473370	321.616000	0.481481	0.370370	5423.160000
MASTL_27158681_C	-35.770070	321.616000	0.279070	0.279070	3225.901000
MASTL_27165534_C	1.277259	4.366000	0.396552	0.258621	81.084000
MASTL_27167987_P	-0.006816	1.423000	0.040816	0.000000	16.849000
MASTL_27169615_P	0.007429	1.636000	0.020408	0.000000	17.344000
MASTL_27173254_C	-9.197104	321.616000	0.229167	0.229167	3345.958000
MASTL_27179338_P	-0.636490	0.895000	0.000000	0.000000	5.268000
MCM10_13161601_C	-0.767293	1.056000	0.000000	0.000000	7.787000
MCM10_13164204_C	0.559172	2.882000	0.224138	0.155172	45.912000
MCM10_13175396_P	-0.078633	0.928000	0.000000	0.000000	10.677000
MCM10_13175676_C	-42.573585	321.801000	0.433962	0.433962	7203.533000
MCM10_13191008_P	-0.008306	1.522000	0.040816	0.000000	17.433000
MCM10_13192360_C	56.839800	321.616000	0.633333	0.633333	3783.690000
MCM10_13197390_P	-0.267061	2.282000	0.040816	0.020408	12.729000
MCM10_13204924_P	-0.694796	-0.417000	0.000000	0.000000	0.000000
MINDY3_15782317_P	0.161082	1.516000	0.081633	0.000000	23.633000
MINDY3_15789241_C	14.740887	321.616000	0.339623	0.339623	5712.784000
MINDY3_15794813_P	-0.115857	1.888000	0.020408	0.000000	14.352000
MINDY3_15816829_C	-95.911455	321.616000	0.181818	0.181818	3191.246000
MINDY3_15837115_P	69.631632	319.100000	0.631579	0.631579	3197.117000
MINDY3_15860200_C	1.643948	3.712000	0.517241	0.482759	110.686000
MKX_27699225_P	0.823306	2.768000	0.224490	0.122449	45.108000
MKX_27745701_C	-0.090138	1.878000	0.034483	0.000000	20.771000
MLLT10_21534515_C	228.448176	321.801000	0.862745	0.862745	13865.928000
MLLT10_21585974_P	-0.365347	0.697000	0.000000	0.000000	6.273000
MLLT10_21602099_P	0.027959	1.339000	0.163265	0.000000	19.457000
MLLT10_21651763_C	-149.754700	321.616000	0.260000	0.260000	3787.535000
MLLT10_21670699_C	143.600575	321.616000	0.600000	0.600000	7376.641000
MLLT10_21680986_P	-0.120061	1.242000	0.000000	0.000000	11.232000
MLLT10_21682252_C	2.679741	4.674000	0.862069	0.655172	155.425000
MLLT10_21717652_P	0.154286	0.576000	0.000000	0.000000	16.128000
MLLT10_21721051_P	0.050857	1.621000	0.040816	0.000000	17.434000
MLLT10_21726350_C	-7.724889	321.616000	0.444444	0.444444	4780.426000
MLLT10_21728631_P	0.084122	1.701000	0.020408	0.000000	18.842000
MLLT10_21731049_C	-10.053180	321.616000	0.420000	0.420000	4722.286000
MRC1_17870368_C	-21.500263	319.100000	0.342105	0.342105	2569.772000
MRC1_17875248_C	55.173021	321.616000	0.617021	0.617021	4938.798000
MRC1_17880935_P	209.477833	321.801000	0.833333	0.833333	12628.150000
MRC1_17885711_P	-0.195571	1.139000	0.000000	0.000000	13.156000
MRC1_17905749_P	-0.080286	1.246000	0.000000	0.000000	13.356000
MRC1_17907693_C	-67.094735	321.616000	0.323529	0.323529	3198.267000
MSMB_46038287_P	-0.054653	0.886000	0.000000	0.000000	13.257000
MSMB_46046229_C	0.141655	1.792000	0.086207	0.000000	26.753000
MTPAP_30320804_P	-0.252041	1.149000	0.000000	0.000000	11.390000
MTPAP_30322385_C	24.902255	321.616000	0.274510	0.274510	4455.513000
MTPAP_30325460_P	-0.307143	0.630000	0.000000	0.000000	8.770000
MTPAP_30341462_C	7.103245	321.616000	0.301887	0.301887	5046.788000
MYO3A_26024082_C	-9.508922	321.616000	0.431373	0.431373	5324.141000
MYO3A_26059600_P	-0.227531	0.882000	0.000000	0.000000	10.605000
MYO3A_26061062_P	-0.706490	-0.401000	0.000000	0.000000	0.000000
MYO3A_26096474_C	76.299413	321.616000	0.326087	0.326087	4742.796000
MYO3A_26125250_P	-0.043878	1.296000	0.000000	0.000000	13.885000
MYO3A_26128533_C	-5.399364	321.616000	0.236364	0.236364	4163.673000
MYO3A_26143447_P	2.215867	321.616000	0.266667	0.266667	3817.328000
MYO3A_26145529_C	31.566537	321.616000	0.333333	0.333333	5742.043000
MYO3A_26147428_P	27.576429	321.616000	0.309524	0.309524	4119.338000
MYO3A_26154818_C	-18.358717	321.616000	0.369565	0.369565	4448.185000
MYO3A_26165930_P	-0.483980	0.637000	0.000000	0.000000	6.032000
MYO3A_26166173_C	106.974350	321.616000	0.475000	0.475000	5670.096000
MYO3A_26168869_C	109.111261	321.616000	0.413043	0.413043	5959.938000
MYO3A_26204164_P	0.362143	1.941000	0.040816	0.000000	27.242000
NEBL_20815619_C	26.740528	321.616000	0.555556	0.555556	4808.303000
NEBL_20817691_P	2.782618	321.616000	0.294118	0.294118	3125.042000
NET1_5446853_C	57.292302	321.616000	0.348837	0.348837	3724.836000
NET1_5451564_P	0.283367	2.234000	0.122449	0.020408	26.676000
NET1_5451932_C	-58.634226	321.616000	0.169811	0.169811	2665.752000
NET1_5452152_P	-0.011776	1.690000	0.040816	0.000000	13.803000
NMT2_15120332_P	-0.806265	-0.417000	0.000000	0.000000	0.000000
NMT2_15132811_C	-15.758556	321.616000	0.222222	0.222222	1856.288000
NMT2_15138994_P	-1.011510	-0.643000	0.000000	0.000000	0.000000
NMT2_15168497_C	93.958638	321.801000	0.655172	0.655172	11330.613000
NRP1_33284186_P	0.016163	1.234000	0.000000	0.000000	17.406000
NRP1_33336189_C	0.492483	2.434000	0.189655	0.086207	40.367000
NSUN6_18551817_C	53.323606	321.616000	0.272727	0.272727	2734.389000
NSUN6_18621394_P	-0.108837	0.864000	0.000000	0.000000	14.130000
NSUN6_18648484_C	1.184121	4.082000	0.362069	0.275862	78.810000
NUDT5_12169935_P	-0.075163	1.894000	0.040816	0.000000	17.191000
NUDT5_12170894_C	0.730328	4.058000	0.275862	0.206897	58.838000
NUDT5_12172962_P	-0.876633	0.696000	0.000000	0.000000	3.661000
NUDT5_12173712_C	-13.391900	321.616000	0.500000	0.500000	4101.561000
NUDT5_12186223_C	1.243241	4.343000	0.379310	0.241379	78.477000
NUDT5_12186569_P	-0.558816	0.737000	0.000000	0.000000	5.835000
OGDHL_49745996_P	-21.398104	321.616000	0.375000	0.375000	723.689000
