MAF_file	mean_phylop	max_phylop	fraction_constrained	fraction_constrained_p01	sum_positive_phylop	decoy_id_clean
C10orf128_49157221	-0.267776	1.249000	0.000000	0.000000	12.321000	C10orf128_49157221
C10orf35_69632105	-0.139245	1.008000	0.000000	0.000000	12.802000	C10orf35_69632105
C1QL3_16519279	0.005224	2.856000	0.081633	0.020408	21.646000	C1QL3_16519279
C1QL3_16519295	-0.117667	2.053000	0.066667	0.066667	5.329000	C1QL3_16519295
CACNB2_18500397	0.172714	1.791000	0.020408	0.000000	23.465000	CACNB2_18500397
CACNB2_18538835	-0.454347	0.886000	0.000000	0.000000	6.695000	CACNB2_18538835
CAMK1D_12826759	-0.182143	1.494000	0.040816	0.000000	15.500000	CAMK1D_12826759
CCAR1_68756152	84.277490	321.616000	0.632653	0.632653	9768.344000	CCAR1_68756152
CCAR1_68771499	-22.690400	319.100000	0.366667	0.366667	1624.913000	CCAR1_68771499
CCDC3_13099021	-0.075571	0.428000	0.000000	0.000000	11.556000	CCDC3_13099021
CCDC6_59806065	-0.617245	1.794000	0.020408	0.000000	6.283000	CCDC6_59806065
CCDC7_32469746	-0.085959	1.341000	0.081633	0.000000	17.064000	CCDC7_32469746
CCDC7_32473183	-0.001714	1.779000	0.081633	0.000000	19.288000	CCDC7_32473183
CCDC7_32565950	-0.096347	1.676000	0.040816	0.000000	16.652000	CCDC7_32565950
CCDC7_32570533	-0.009327	1.135000	0.000000	0.000000	16.406000	CCDC7_32570533
CCNY_35371772	-0.261245	1.145000	0.000000	0.000000	11.777000	CCNY_35371772
CCNY_35455513	-0.146612	1.366000	0.061224	0.000000	15.698000	CCNY_35455513
CCNY_35527777	-0.011327	1.703000	0.020408	0.000000	17.719000	CCNY_35527777
CCSER2_84372600	0.057898	1.781000	0.081633	0.000000	19.525000	CCSER2_84372600
CDC123_12238378	135.005714	319.100000	0.714286	0.714286	6274.112000	CDC123_12238378
CDC123_12249548	15.501429	319.100000	0.214286	0.214286	1875.292000	CDC123_12249548
CDH23_71675762	-0.699367	1.069000	0.000000	0.000000	7.106000	CDH23_71675762
CDH23_71675766	-0.288333	0.370000	0.000000	0.000000	0.370000	CDH23_71675766
CDH23_71681521	-0.262796	1.830000	0.020408	0.000000	12.880000	CDH23_71681521
CDH23_71706593	-0.652776	1.170000	0.000000	0.000000	8.657000	CDH23_71706593
CDH23_71731866	-0.538816	1.122000	0.000000	0.000000	5.489000	CDH23_71731866
CDH23_71738910	-0.410531	0.884000	0.000000	0.000000	10.825000	CDH23_71738910
CDNF_14822450	-0.222000	0.825000	0.000000	0.000000	6.798000	CDNF_14822450
CDNF_14833301	-0.395245	0.579000	0.000000	0.000000	6.369000	CDNF_14833301
CDNF_14837155	-0.039245	1.711000	0.020408	0.000000	17.127000	CDNF_14837155
CFAP70_73278032	0.353837	2.627000	0.061224	0.020408	27.444000	CFAP70_73278032
CFAP70_73310969	-0.022490	1.463000	0.081633	0.000000	19.203000	CFAP70_73310969
CFAP70_73324460	-1.941612	-1.897000	0.000000	0.000000	0.000000	CFAP70_73324460
CFAP70_73340081	-0.774592	-0.643000	0.000000	0.000000	0.000000	CFAP70_73340081
CFAP70_73340085	-0.734000	-0.734000	0.000000	0.000000	0.000000	CFAP70_73340085
CFAP70_73346417	-0.393449	0.336000	0.000000	0.000000	7.728000	CFAP70_73346417
CHAT_49626481	-0.024306	1.474000	0.081633	0.000000	17.115000	CHAT_49626481
CHAT_49653407	-0.519755	1.827000	0.020408	0.000000	7.666000	CHAT_49653407
CREM_35183226	0.361837	2.639000	0.204082	0.040816	30.316000	CREM_35183226
CSGALNACT2_43156803	-0.154347	0.557000	0.000000	0.000000	11.140000	CSGALNACT2_43156803
CSGALNACT2_43161530	0.383204	2.011000	0.122449	0.020408	29.419000	CSGALNACT2_43161530
CSGALNACT2_43164322	-0.154633	1.803000	0.040816	0.000000	14.137000	CSGALNACT2_43164322
CUBN_16829761	-0.241776	2.010000	0.061224	0.020408	12.962000	CUBN_16829761
CUBN_16917528	-0.127837	0.364000	0.000000	0.000000	9.828000	CUBN_16917528
CUBN_16928902	0.159694	1.894000	0.163265	0.000000	23.816000	CUBN_16928902
CUBN_17043738	-0.199510	0.830000	0.000000	0.000000	11.628000	CUBN_17043738
CUBN_17067056	0.071286	1.286000	0.000000	0.000000	17.624000	CUBN_17067056
CUBN_17102445	-0.910898	-0.630000	0.000000	0.000000	0.000000	CUBN_17102445
CUBN_17112589	0.060653	1.043000	0.000000	0.000000	15.676000	CUBN_17112589
CUBN_17116719	-0.077531	1.959000	0.020408	0.000000	16.754000	CUBN_17116719
CUBN_17123184	-0.328469	1.343000	0.020408	0.000000	9.906000	CUBN_17123184
CUBN_17123188	-0.472000	-0.472000	0.000000	0.000000	0.000000	CUBN_17123188
CUBN_17123192	-0.834333	0.576000	0.000000	0.000000	0.576000	CUBN_17123192
CUL2_35025575	0.053510	1.594000	0.061224	0.000000	17.780000	CUL2_35025575
CUL2_35040676	-0.072653	1.345000	0.020408	0.000000	10.801000	CUL2_35040676
CUL2_35046031	-0.103735	1.833000	0.020408	0.000000	14.922000	CUL2_35046031
CUL2_35052635	-0.197245	0.928000	0.000000	0.000000	9.383000	CUL2_35052635
CUL2_35067847	-1.733694	-1.135000	0.000000	0.000000	0.000000	CUL2_35067847
CXCL12_44379669	-0.197061	1.508000	0.020408	0.000000	11.801000	CXCL12_44379669
CXCL12_44382824	-0.046796	1.618000	0.061224	0.000000	17.971000	CXCL12_44382824
DCLRE1C_14921697	-0.513184	0.981000	0.000000	0.000000	4.854000	DCLRE1C_14921697
DCLRE1C_14928664	-0.054061	1.351000	0.102041	0.000000	16.807000	DCLRE1C_14928664
DDX21_68964180	-0.092776	1.530000	0.061224	0.000000	16.967000	DDX21_68964180
DDX21_68973965	-0.199980	1.275000	0.000000	0.000000	17.690000	DDX21_68973965
DDX50_68907969	0.394122	2.103000	0.224490	0.122449	32.306000	DDX50_68907969
DIP2C_281101	-0.728082	0.566000	0.000000	0.000000	2.916000	DIP2C_281101
DIP2C_284462	-0.435633	0.982000	0.000000	0.000000	9.708000	DIP2C_284462
DIP2C_357309	-0.077490	0.924000	0.000000	0.000000	13.956000	DIP2C_357309
DIP2C_383382	0.052755	1.402000	0.020408	0.000000	15.785000	DIP2C_383382
DNA2_68416052	-1.032245	-0.643000	0.000000	0.000000	0.000000	DNA2_68416052
DNA2_68418595	-0.821653	-0.405000	0.000000	0.000000	0.000000	DNA2_68418595
DNA2_68433837	0.026551	1.205000	0.000000	0.000000	16.607000	DNA2_68433837
DNA2_68450364	-0.130796	1.665000	0.040816	0.000000	14.248000	DNA2_68450364
DNA2_68450370	0.197800	0.949000	0.000000	0.000000	1.735000	DNA2_68450370
DNA2_68457480	-0.101878	1.006000	0.000000	0.000000	16.072000	DNA2_68457480
DNAJC12_67800501	0.167327	1.521000	0.040816	0.000000	19.719000	DNAJC12_67800501
DNAJC1_21924786	-0.633449	-0.417000	0.000000	0.000000	0.000000	DNAJC1_21924786
DNAJC1_21924792	-0.983600	-0.630000	0.000000	0.000000	0.000000	DNAJC1_21924792
DNAJC9_73246438	-0.115918	2.513000	0.040816	0.040816	18.069000	DNAJC9_73246438
DNAJC9_73246440	-0.627000	-0.627000	0.000000	0.000000	0.000000	DNAJC9_73246440
DRGX_49388108	-0.063918	1.847000	0.061224	0.000000	19.984000	DRGX_49388108
DRGX_49390783	-0.237490	1.998000	0.040816	0.000000	13.005000	DRGX_49390783
DYDC1_80339531	0.050857	1.486000	0.061224	0.000000	19.404000	DYDC1_80339531
DYDC1_80352267	0.263408	1.519000	0.061224	0.000000	22.788000	DYDC1_80352267
DYDC1_80352934	-0.154612	1.533000	0.040816	0.000000	14.755000	DYDC1_80352934
DYDC2_80353769	0.007204	1.432000	0.142857	0.000000	18.151000	DYDC2_80353769
ECD_73142357	-0.741673	-0.630000	0.000000	0.000000	0.000000	ECD_73142357
ECD_73149397	-0.699082	-0.417000	0.000000	0.000000	0.000000	ECD_73149397
ENKUR_24994023	-0.139980	2.278000	0.061224	0.020408	13.530000	ENKUR_24994023
ENKUR_24996765	0.006020	1.736000	0.040816	0.000000	17.367000	ENKUR_24996765
ERCC6_49475914	-0.247612	0.979000	0.000000	0.000000	9.983000	ERCC6_49475914
ERCC6_49475918	0.026000	0.745000	0.000000	0.000000	1.065000	ERCC6_49475918
ERCC6_49527981	-0.055449	1.182000	0.000000	0.000000	14.088000	ERCC6_49527981
ERCC6_49529184	-0.042469	1.560000	0.081633	0.000000	17.226000	ERCC6_49529184
FAM13C_59260466	-0.052816	1.255000	0.000000	0.000000	16.120000	FAM13C_59260466
FAM13C_59265820	0.501959	2.627000	0.081633	0.020408	33.450000	FAM13C_59265820
FAM13C_59269624	-0.117571	2.514000	0.040816	0.020408	15.930000	FAM13C_59269624
FAM13C_59269628	0.893000	1.655000	0.333333	0.000000	2.679000	FAM13C_59269628
FAM149B1_73172239	0.117939	1.749000	0.081633	0.000000	21.102000	FAM149B1_73172239
FAM149B1_73233910	0.275735	1.904000	0.122449	0.000000	27.295000	FAM149B1_73233910
FAM171A1_15282447	-0.287082	0.821000	0.000000	0.000000	11.694000	FAM171A1_15282447
FAM208B_5698288	-0.515714	0.621000	0.000000	0.000000	3.726000	FAM208B_5698288
FAM208B_5722087	0.142918	1.290000	0.000000	0.000000	21.012000	FAM208B_5722087
FAM208B_5726797	0.184163	2.410000	0.142857	0.020408	22.941000	FAM208B_5726797
FAM208B_5730195	-0.188980	1.936000	0.040816	0.000000	11.790000	FAM208B_5730195
FAM208B_5732399	-0.102388	1.406000	0.122449	0.000000	19.577000	FAM208B_5732399
FAM208B_5732403	0.384667	1.293000	0.000000	0.000000	1.823000	FAM208B_5732403
FAM208B_5753744	-0.044490	1.248000	0.000000	0.000000	14.002000	FAM208B_5753744
FAM208B_5757208	-0.327571	0.843000	0.000000	0.000000	6.849000	FAM208B_5757208
FAM208B_5757213	0.469800	0.745000	0.000000	0.000000	2.349000	FAM208B_5757213
FAM213A_80425549	-0.043122	1.693000	0.020408	0.000000	13.586000	FAM213A_80425549
FRMPD2_48204052	0.152184	1.348000	0.061224	0.000000	18.774000	FRMPD2_48204052
FRMPD2_48249456	-0.061633	1.365000	0.061224	0.000000	16.707000	FRMPD2_48249456
GAD2_26218495	-0.065020	1.615000	0.020408	0.000000	17.949000	GAD2_26218495
GAD2_26273124	-0.081510	1.877000	0.040816	0.000000	16.451000	GAD2_26273124
GAD2_26292391	-0.757429	0.760000	0.000000	0.000000	4.314000	GAD2_26292391
GATA3_8059617	0.339000	2.874000	0.122449	0.102041	29.666000	GATA3_8059617
GDF10_47311800	-0.241245	2.536000	0.020408	0.020408	14.993000	GDF10_47311800
GDF10_47311804	-1.161333	-0.567000	0.000000	0.000000	0.000000	GDF10_47311804
GDI2_5767935	-0.577510	0.944000	0.000000	0.000000	5.624000	GDI2_5767935
GDI2_5767939	-2.538667	-2.075000	0.000000	0.000000	0.000000	GDI2_5767939
GDI2_5793693	-0.154163	1.262000	0.000000	0.000000	13.225000	GDI2_5793693
GHITM_84145411	0.074531	2.211000	0.061224	0.040816	18.721000	GHITM_84145411
GPR158_25593007	0.135633	1.757000	0.020408	0.000000	19.012000	GPR158_25593007
GTPBP4_1003876	-1.028286	-0.866000	0.000000	0.000000	0.000000	GTPBP4_1003876
GTPBP4_990430	-0.076939	0.746000	0.000000	0.000000	12.492000	GTPBP4_990430
GTPBP4_997870	-0.338041	2.034000	0.040816	0.020408	12.054000	GTPBP4_997870
HACD1_17598549	-0.166755	1.524000	0.020408	0.000000	10.508000	HACD1_17598549
HACD1_17598553	-0.170333	0.632000	0.000000	0.000000	0.632000	HACD1_17598553
HACD1_17600019	-0.462224	1.207000	0.000000	0.000000	6.642000	HACD1_17600019
HERC4_67926751	0.119694	1.424000	0.142857	0.000000	22.798000	HERC4_67926751
HERC4_67935570	0.013020	1.799000	0.040816	0.000000	20.778000	HERC4_67935570
HERC4_67989279	0.406061	2.698000	0.224490	0.040816	31.971000	HERC4_67989279
HERC4_68038428	0.153612	2.277000	0.061224	0.020408	22.201000	HERC4_68038428
HERC4_68038430	-0.946000	-0.946000	0.000000	0.000000	0.000000	HERC4_68038430
HK1_69383439	-0.109612	1.668000	0.020408	0.000000	18.663000	HK1_69383439
HKDC1_69239192	-0.382265	1.417000	0.020408	0.000000	7.195000	HKDC1_69239192
HKDC1_69240560	-0.087490	1.114000	0.000000	0.000000	12.272000	HKDC1_69240560
HKDC1_69260684	-0.121020	1.729000	0.020408	0.000000	14.850000	HKDC1_69260684
HKDC1_69263736	-0.283959	0.883000	0.000000	0.000000	11.906000	HKDC1_69263736
HSPA14_14849053	-0.056408	1.210000	0.000000	0.000000	15.726000	HSPA14_14849053
HSPA14_14871188	-0.237980	2.115000	0.061224	0.020408	14.238000	HSPA14_14871188
IL2RA_6019535	-0.517735	1.303000	0.020408	0.000000	7.426000	IL2RA_6019535
ITGA8_15535903	-1.469857	-1.251000	0.000000	0.000000	0.000000	ITGA8_15535903
ITGA8_15606596	-0.190469	1.280000	0.000000	0.000000	11.485000	ITGA8_15606596
ITGA8_15652936	-0.251327	1.287000	0.000000	0.000000	13.046000	ITGA8_15652936
ITGA8_15672818	0.000286	1.977000	0.020408	0.000000	16.188000	ITGA8_15672818
ITGB1_32928613	-0.465367	1.278000	0.000000	0.000000	9.266000	ITGB1_32928613
ITIH2_7706077	0.219061	2.072000	0.142857	0.061224	25.052000	ITIH2_7706077
ITIH2_7712244	-0.132633	1.075000	0.000000	0.000000	13.116000	ITIH2_7712244
ITIH2_7715045	-0.189184	1.120000	0.000000	0.000000	9.784000	ITIH2_7715045
ITIH2_7720597	0.080816	1.327000	0.081633	0.000000	17.950000	ITIH2_7720597
ITIH2_7720765	-0.151592	1.885000	0.020408	0.000000	12.943000	ITIH2_7720765
ITIH2_7723264	-0.375918	1.408000	0.020408	0.000000	8.684000	ITIH2_7723264
ITIH2_7723356	-0.239490	0.917000	0.000000	0.000000	11.745000	ITIH2_7723356
ITIH2_7725305	-0.579041	0.614000	0.000000	0.000000	4.298000	ITIH2_7725305
ITIH2_7731305	-0.081592	2.296000	0.061224	0.020408	17.830000	ITIH2_7731305
ITIH2_7732638	-0.024796	0.863000	0.000000	0.000000	14.293000	ITIH2_7732638
ITIH2_7733971	-0.111388	1.046000	0.000000	0.000000	13.724000	ITIH2_7733971
ITIH5_7637565	-0.177714	1.409000	0.020408	0.000000	12.419000	ITIH5_7637565
JMJD1C_63169071	0.153347	1.355000	0.020408	0.000000	21.659000	JMJD1C_63169071
JMJD1C_63186479	-0.198959	1.148000	0.000000	0.000000	10.840000	JMJD1C_63186479
JMJD1C_63191724	-0.357755	0.903000	0.000000	0.000000	1.430000	JMJD1C_63191724
JMJD1C_63196459	0.088082	1.841000	0.020408	0.000000	19.816000	JMJD1C_63196459
JMJD1C_63196461	0.448000	0.448000	0.000000	0.000000	0.448000	JMJD1C_63196461
JMJD1C_63196465	-0.221000	1.025000	0.000000	0.000000	1.025000	JMJD1C_63196465
JMJD1C_63202128	-1.031857	-0.630000	0.000000	0.000000	0.000000	JMJD1C_63202128
JMJD1C_63212555	-0.436082	1.003000	0.000000	0.000000	8.827000	JMJD1C_63212555
JMJD1C_63216217	0.275490	1.776000	0.061224	0.000000	24.653000	JMJD1C_63216217
JMJD1C_63219187	0.048265	1.441000	0.061224	0.000000	17.722000	JMJD1C_63219187
KAT6B_75027314	0.407245	2.915000	0.163265	0.061224	32.660000	KAT6B_75027314
KCNMA1_76890300	-0.234204	1.220000	0.000000	0.000000	9.823000	KCNMA1_76890300
KCNMA1_77018535	0.221837	1.847000	0.040816	0.000000	24.817000	KCNMA1_77018535
KCNMA1_77119773	-0.602204	0.621000	0.000000	0.000000	5.589000	KCNMA1_77119773
KIAA1217_24521609	-0.120898	1.213000	0.000000	0.000000	12.832000	KIAA1217_24521609
KIAA1217_24525263	-0.446980	1.174000	0.000000	0.000000	6.271000	KIAA1217_24525263
KIAA1217_24526615	-0.270327	1.143000	0.000000	0.000000	10.968000	KIAA1217_24526615
KIF1BP_69010578	0.032429	2.067000	0.142857	0.061224	19.781000	KIF1BP_69010578
KIF1BP_69012150	-0.187816	1.391000	0.020408	0.000000	9.709000	KIF1BP_69012150
KIF1BP_69012154	0.462000	1.355000	0.333333	0.000000	1.779000	KIF1BP_69012154
KIF5B_32012032	0.007714	1.975000	0.081633	0.000000	18.196000	KIF5B_32012032
KIF5B_32033361	-0.157265	0.694000	0.000000	0.000000	9.386000	KIF5B_32033361
KIF5B_32035377	121.224449	321.801000	0.693878	0.693878	10764.367000	KIF5B_32035377
KIN_7780885	-0.264633	0.979000	0.000000	0.000000	14.485000	KIN_7780885
KLF6_3780039	80.929020	321.801000	0.632653	0.632653	9667.920000	KLF6_3780039
MALRD1_19280411	0.086265	1.884000	0.061224	0.000000	18.912000	MALRD1_19280411
MALRD1_19280418	0.629167	2.676000	0.166667	0.166667	4.771000	MALRD1_19280418
MASTL_27167734	0.362735	2.295000	0.163265	0.061224	29.998000	MASTL_27167734
MASTL_27167739	-0.312500	0.704000	0.000000	0.000000	1.408000	MASTL_27167739
MASTL_27171709	-0.230714	0.484000	0.000000	0.000000	8.712000	MASTL_27171709
MCM10_13185695	0.104837	1.950000	0.061224	0.000000	21.523000	MCM10_13185695
MCM10_13196889	-0.653837	-0.371000	0.000000	0.000000	0.000000	MCM10_13196889
MCM10_13208755	-0.153388	1.666000	0.020408	0.000000	13.091000	MCM10_13208755
MCM10_13209065	12.318478	321.616000	0.108696	0.108696	1595.729000	MCM10_13209065
MCU_72859885	0.326122	2.514000	0.122449	0.040816	29.183000	MCU_72859885
MICU1_72369503	-0.223837	1.406000	0.040816	0.000000	13.483000	MICU1_72369503
MINDY3_15780546	-0.651776	1.057000	0.000000	0.000000	5.588000	MINDY3_15780546
MINDY3_15804864	-0.143878	1.737000	0.020408	0.000000	15.059000	MINDY3_15804864
MINDY3_15834102	0.068408	1.600000	0.081633	0.000000	21.052000	MINDY3_15834102
MINDY3_15838927	0.166367	3.633000	0.020408	0.020408	20.033000	MINDY3_15838927
MKX_27744020	0.369551	1.652000	0.142857	0.000000	30.796000	MKX_27744020
MLLT10_21588208	-0.197224	0.837000	0.000000	0.000000	9.151000	MLLT10_21588208
MLLT10_21590266	-0.897204	-0.643000	0.000000	0.000000	0.000000	MLLT10_21590266
MLLT10_21613359	-0.150796	1.695000	0.061224	0.000000	17.192000	MLLT10_21613359
MLLT10_21614685	97.925692	319.100000	0.692308	0.692308	3834.117000	MLLT10_21614685
MLLT10_21681904	0.043898	1.953000	0.040816	0.000000	20.599000	MLLT10_21681904
MRC1_17847080	-0.258367	2.010000	0.040816	0.020408	11.424000	MRC1_17847080
MRC1_17884755	-0.134306	0.464000	0.000000	0.000000	12.064000	MRC1_17884755
MRC1_17901936	14.035171	319.100000	0.146341	0.146341	1885.233000	MRC1_17901936
MRC1_17902435	-0.277286	1.540000	0.061224	0.000000	13.508000	MRC1_17902435
MSMB_46042473	-0.122367	1.628000	0.020408	0.000000	13.617000	MSMB_46042473
MSS51_73424999	0.113041	1.459000	0.020408	0.000000	19.645000	MSS51_73424999
MSS51_73425284	0.035490	1.550000	0.020408	0.000000	17.647000	MSS51_73425284
MSS51_73429303	0.135306	1.481000	0.122449	0.000000	23.291000	MSS51_73429303
MTPAP_30320963	0.049347	1.149000	0.000000	0.000000	18.146000	MTPAP_30320963
MTPAP_30339631	-0.504571	1.361000	0.040816	0.000000	7.686000	MTPAP_30339631
