ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
98	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10588438	10588550	10593745	10595875	10585977	10586041	10596338	10596441	98	0,0,43,43,31,22	0,0,29,42,27,18	42,32,34,36,37,34	30,18,38,31,38,25	198	198	1	1.0	NA,NA,0.597,0.506,0.534,0.55	0.583,0.64,0.472,0.537,0.493,0.576	-0.003
99	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10588438	10588550	10595675	10595875	10585977	10586041	10596338	10596441	99	0,0,41,51,32,22	0,0,29,42,27,18	43,30,32,34,41,36	30,18,38,31,38,25	198	198	1	1.0	NA,NA,0.586,0.548,0.542,0.55	0.589,0.625,0.457,0.523,0.519,0.59	0.006
134	"ENSMUSG00000028416.13"	"Bag1"	chr4	-	40939076	40939184	40941524	40941638	40937131	40937194	40943624	40943707	134	0,0,362,459,405,356	0,0,384,438,404,303	403,476,517,348,459,395	374,474,515,431,399,381	198	198	1	1.0	NA,NA,0.485,0.512,0.501,0.54	0.519,0.501,0.501,0.447,0.535,0.509	0.008
157	"ENSMUSG00000024236.18"	"Svil"	chr18	+	5054017	5054098	5057274	5057439	5048884	5049494	5058124	5058159	157	0,0,0,0,0,0	0,0,0,1,4,0	0,2,1,0,0,0	2,2,2,3,5,0	180	198	1	1.0	NA,NA,NA,0.0,0.0,NA	0.0,0.524,0.355,0.0,0.0,NA	-0.176
162	"ENSMUSG00000028414.17"	"Fktn"	chr4	+	53724604	53724742	53729979	53730039	53720006	53720209	53731131	53731335	162	0,0,7,10,19,14	0,0,41,73,53,26	13,11,11,19,14,9	78,66,75,59,63,82	198	159	1	1.0	NA,NA,0.121,0.099,0.224,0.302	0.118,0.118,0.105,0.205,0.151,0.081	0.057
169	"ENSMUSG00000024286.8"	"Ccny"	chr18	-	9349387	9349423	9377793	9377828	9345413	9345471	9386734	9386809	169	0,0,20,31,20,30	0,0,55,62,57,58	35,40,39,33,28,57	76,65,71,50,89,59	134	135	1	1.0	NA,NA,0.268,0.335,0.261,0.343	0.317,0.383,0.356,0.399,0.241,0.493	-0.063
174	"ENSMUSG00000062995.12"	"Ica1"	chr6	-	8653496	8653535	8653629	8653692	8643972	8644242	8656361	8656408	174	0,0,33,39,42,27	0,0,31,47,52,21	26,36,61,30,51,37	49,36,46,43,39,54	162	138	1	1.0	NA,NA,0.476,0.414,0.408,0.523	0.311,0.46,0.53,0.373,0.527,0.369	0.027
176	"ENSMUSG00000062995.12"	"Ica1"	chr6	-	8653629	8653692	8656361	8656408	8653496	8653535	8658219	8658314	176	0,0,41,53,43,21	0,0,32,23,46,48	43,41,47,37,42,42	37,47,44,44,35,39	146	162	1	1.0	NA,NA,0.587,0.719,0.509,0.327	0.563,0.492,0.542,0.483,0.571,0.544	0.003
177	"ENSMUSG00000062995.12"	"Ica1"	chr6	-	8754588	8754751	8758365	8758458	8749694	8749767	8778071	8778154	177	0,0,9,23,14,22	0,0,102,149,141,135	19,22,10,32,14,22	147,133,165,197,184,195	192	198	1	1.0	NA,NA,0.083,0.137,0.093,0.144	0.118,0.146,0.059,0.143,0.073,0.104	0.007
178	"ENSMUSG00000107705.1"	"Gm45062"	chr6	+	8373905	8373967	8426970	8427185	8270472	8270581	8537816	8537968	178	0,0,36,15,32,33	0,0,10,9,13,13	53,37,44,49,55,35	12,9,16,22,11,9	161	198	1	1.0	NA,NA,0.816,0.672,0.752,0.757	0.845,0.835,0.772,0.733,0.86,0.827	-0.063
181	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57638009	57638090	57647989	57648120	57568178	57568415	57688415	57688530	181	0,0,16,12,15,10	0,0,77,96,85,61	22,16,15,27,25,15	69,105,81,102,77,89	180	198	1	1.0	NA,NA,0.186,0.121,0.163,0.153	0.26,0.144,0.169,0.226,0.263,0.156	-0.047
182	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57647989	57648120	57688415	57688530	57637822	57638090	57689522	57689544	182	0,0,50,57,55,42	0,0,45,83,78,64	55,42,63,55,46,89	78,88,78,87,63,73	198	198	1	1.0	NA,NA,0.526,0.407,0.414,0.396	0.414,0.323,0.447,0.387,0.422,0.549	0.012
183	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57688415	57688530	57689522	57689544	57647989	57648120	57757600	57757683	183	0,0,72,90,81,60	0,0,6,2,6,5	60,101,71,106,66,81	10,12,10,9,11,7	198	121	1	1.0	NA,NA,0.88,0.965,0.892,0.88	0.786,0.837,0.813,0.878,0.786,0.876	0.075
184	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57689522	57689544	57757600	57757683	57688415	57688530	57854561	57854584	184	0,0,7,12,7,1	0,0,29,45,49,48	15,7,10,7,7,5	32,32,36,21,30,36	121	182	1	1.0	NA,NA,0.266,0.286,0.177,0.03	0.414,0.248,0.295,0.334,0.26,0.173	-0.098
186	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57757600	57757683	57854561	57857037	57689522	57689544	57883023	57883202	186	0,0,21,41,42,31	0,0,60,73,76,57	35,42,29,52,35,33	82,77,78,85,66,65	182	198	1	1.0	NA,NA,0.276,0.379,0.375,0.372	0.317,0.372,0.288,0.4,0.366,0.356	0.001
191	"ENSMUSG00000028292.14"	"Rars2"	chr4	+	34646507	34646614	34647785	34647881	34645696	34645855	34650190	34650251	191	0,0,26,41,54,43	0,0,51,64,49,53	87,44,69,61,57,36	87,53,101,78,68,55	198	195	1	1.0	NA,NA,0.334,0.387,0.52,0.444	0.496,0.45,0.402,0.435,0.452,0.392	-0.017
212	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21857179	21857368	21859083	21859307	21854244	21854445	21860819	21860991	212	0,0,236,439,408,410	0,0,112,141,151,136	544,480,351,539,364,437	163,135,157,117,149,192	198	198	1	1.0	NA,NA,0.678,0.757,0.73,0.751	0.769,0.78,0.691,0.822,0.71,0.695	-0.015
213	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21857179	21857368	21859083	21859307	21854346	21854445	21860877	21860991	213	0,0,237,446,403,415	0,0,7,7,16,14	551,480,353,535,364,435	25,17,12,12,19,14	198	198	1	1.0	NA,NA,0.971,0.985,0.962,0.967	0.957,0.966,0.967,0.978,0.95,0.969	0.007
220	"ENSMUSG00000028411.15"	"Aptx"	chr4	-	40694851	40695136	40695376	40695423	40693389	40693449	40697216	40697353	220	0,0,33,41,26,39	0,0,87,95,86,75	40,34,36,36,48,38	129,110,98,101,90,103	146	198	1	1.0	NA,NA,0.34,0.369,0.291,0.414	0.296,0.295,0.333,0.326,0.42,0.333	0.02
221	"ENSMUSG00000028411.15"	"Aptx"	chr4	-	40695376	40695418	40697216	40697353	40694851	40695136	40703136	40703187	221	0,0,20,23,23,38	0,0,27,29,34,25	36,23,37,36,32,25	26,28,29,37,22,25	198	141	1	1.0	NA,NA,0.345,0.361,0.325,0.52	0.496,0.369,0.476,0.409,0.509,0.416	-0.058
222	"ENSMUSG00000028411.15"	"Aptx"	chr4	-	40695376	40695423	40697216	40697353	40694851	40695136	40703136	40703194	222	0,0,20,23,23,38	0,0,32,29,34,32	36,23,37,36,32,25	27,30,32,42,22,27	198	146	1	1.0	NA,NA,0.315,0.369,0.333,0.467	0.496,0.361,0.46,0.387,0.518,0.406	-0.067
225	"ENSMUSG00000028409.11"	"Smu1"	chr4	-	40753486	40753597	40754507	40754660	40751924	40752053	40755626	40755837	225	0,0,230,269,259,199	0,0,118,119,139,110	323,240,257,320,311,367	128,129,195,146,178,131	198	198	1	1.0	NA,NA,0.661,0.693,0.651,0.644	0.716,0.65,0.569,0.687,0.636,0.737	-0.004
226	"ENSMUSG00000028409.11"	"Smu1"	chr4	-	40754507	40754660	40755626	40755837	40753486	40753597	40757776	40757883	226	0,0,179,212,188,189	0,0,138,115,134,98	298,235,273,329,311,353	171,175,159,167,179,152	198	198	1	1.0	NA,NA,0.565,0.648,0.584,0.659	0.635,0.573,0.632,0.663,0.635,0.699	-0.025
234	"ENSMUSG00000028347.14"	"Tmeff1"	chr4	+	48636839	48636988	48650294	48650418	48617231	48617331	48658773	48658932	234	0,0,356,300,314,271	0,0,329,298,344,224	420,410,443,376,439,344	388,388,437,345,341,340	198	198	1	1.0	NA,NA,0.52,0.502,0.477,0.547	0.52,0.514,0.503,0.521,0.563,0.503	-0.009
235	"ENSMUSG00000028347.14"	"Tmeff1"	chr4	+	48638979	48639045	48650294	48650418	48636839	48636988	48658773	48658932	235	0,0,199,162,197,174	0,0,329,298,344,224	271,269,262,225,244,213	388,388,439,347,341,339	165	198	1	1.0	NA,NA,0.421,0.395,0.407,0.482	0.456,0.454,0.417,0.438,0.462,0.43	-0.017
236	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769649	5769791	5800774	5800890	5767029	5767144	5905104	5905194	236	0,0,0,2,5,0	0,0,117,84,103,91	0,0,1,1,2,0	78,75,84,82,101,80	198	198	1	1.0	NA,NA,0.0,0.023,0.046,0.0	0.0,0.0,0.012,0.012,0.019,0.0	0.01
237	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769700	5769791	5784438	5784498	5767029	5767144	5800774	5800890	237	0,0,132,138,139,95	0,0,44,39,46,39	128,152,127,129,140,154	34,27,39,29,37,35	190	159	1	1.0	NA,NA,0.715,0.748,0.717,0.671	0.759,0.825,0.732,0.788,0.76,0.786	-0.062
238	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769700	5769791	5800774	5800890	5767029	5767144	5905104	5905194	238	0,0,108,93,115,71	0,0,117,84,103,91	96,95,97,80,99,115	78,75,84,82,101,80	190	198	1	1.0	NA,NA,0.49,0.536,0.538,0.448	0.562,0.569,0.546,0.504,0.505,0.6	-0.045
239	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769733	5769791	5800774	5800890	5767029	5767144	5905104	5905194	239	0,0,23,12,11,3	0,0,117,84,103,91	3,6,10,10,11,12	78,75,84,82,101,80	157	198	1	1.0	NA,NA,0.199,0.153,0.119,0.04	0.046,0.092,0.131,0.133,0.121,0.159	0.014
257	"ENSMUSG00000036241.3"	"Ube2r2"	chr4	+	41174040	41174127	41183244	41183342	41135742	41136246	41189151	41189286	257	0,0,142,133,134,144	0,0,265,251,269,180	161,146,174,206,165,170	222,266,350,252,245,217	186	197	1	1.0	NA,NA,0.362,0.359,0.345,0.459	0.434,0.368,0.345,0.464,0.416,0.453	-0.032
258	"ENSMUSG00000036241.3"	"Ube2r2"	chr4	+	41183244	41183342	41189151	41189286	41174040	41174127	41190604	41193380	258	0,0,200,175,206,170	0,0,441,461,408,362	184,245,199,191,175,161	438,426,599,486,462,457	197	198	1	1.0	NA,NA,0.313,0.276,0.337,0.321	0.297,0.366,0.25,0.283,0.276,0.261	0.023
262	"ENSMUSG00000050812.18"	"Ecpas"	chr4	-	58819142	58819264	58820127	58820175	58817399	58817550	58821362	58821468	262	0,0,31,33,40,47	0,0,94,92,93,66	44,33,36,44,45,35	87,69,111,87,82,92	147	198	1	1.0	NA,NA,0.308,0.326,0.367,0.49	0.405,0.392,0.304,0.405,0.425,0.339	-0.006
263	"ENSMUSG00000038764.14"	"Ptpn3"	chr4	-	57262428	57262507	57264865	57264908	57257974	57258019	57264982	57265090	263	0,0,11,9,8,8	0,0,14,9,12,12	9,5,13,13,10,9	11,10,9,13,11,10	142	178	1	1.0	NA,NA,0.496,0.556,0.455,0.455	0.506,0.385,0.644,0.556,0.533,0.53	-0.035
264	"ENSMUSG00000028434.12"	"Epb41l4b"	chr4	-	57068304	57068338	57071051	57071082	57064798	57064863	57073261	57073371	264	0,0,12,1,2,4	0,0,2,0,4,6	2,2,0,5,5,3	4,5,2,2,5,3	130	133	1	1.0	NA,NA,0.86,1.0,0.338,0.405	0.338,0.29,0.0,0.719,0.506,0.506	0.258
265	"ENSMUSG00000028426.10"	"Rad23b"	chr4	+	55380988	55381116	55382479	55382615	55378233	55378289	55383586	55383714	265	0,0,274,322,318,272	0,0,545,585,636,495	368,381,336,378,404,284	582,636,682,633,691,560	198	198	1	1.0	NA,NA,0.335,0.355,0.333,0.355	0.387,0.375,0.33,0.374,0.369,0.336	-0.017
266	"ENSMUSG00000028426.10"	"Rad23b"	chr4	+	55382479	55382615	55383586	55383714	55380988	55381116	55385409	55385601	266	0,0,575,606,603,566	0,0,261,318,384,296	682,657,721,673,655,565	414,366,398,327,399,366	198	198	1	1.0	NA,NA,0.688,0.656,0.611,0.657	0.622,0.642,0.644,0.673,0.621,0.607	0.018
268	"ENSMUSG00000028412.17"	"Slc44a1"	chr4	+	53481463	53481553	53491387	53491530	53440670	53440716	53517544	53517681	268	0,0,56,44,47,26	0,0,340,268,305,262	62,50,75,66,51,65	429,430,426,410,432,327	189	198	1	1.0	NA,NA,0.147,0.147,0.139,0.094	0.131,0.109,0.156,0.144,0.11,0.172	-0.005
269	"ENSMUSG00000028412.17"	"Slc44a1"	chr4	+	53528654	53528748	53538389	53538479	53517544	53517681	53541300	53541440	269	0,0,185,196,186,159	0,0,149,144,148,136	255,203,251,223,210,196	186,169,215,196,197,204	193	189	1	1.0	NA,NA,0.549,0.571,0.552,0.534	0.573,0.541,0.533,0.527,0.511,0.485	0.023
271	"ENSMUSG00000063446.4"	"Plppr1"	chr4	+	49206387	49206495	49282255	49282444	49059281	49059617	49300920	49301053	271	0,0,31,8,13,11	0,0,46,35,51,49	35,9,19,29,15,13	55,54,50,45,50,59	198	198	1	1.0	NA,NA,0.403,0.186,0.203,0.183	0.389,0.143,0.275,0.392,0.231,0.181	-0.025
272	"ENSMUSG00000039809.10"	"Gabbr2"	chr4	-	46804058	46804124	46815637	46815739	46798476	46798677	46846280	46846451	272	0,0,133,128,146,110	0,0,49,53,54,46	137,98,86,132,140,155	44,53,57,58,49,53	198	165	1	1.0	NA,NA,0.693,0.668,0.693,0.666	0.722,0.606,0.557,0.655,0.704,0.709	0.021
273	"ENSMUSG00000039809.10"	"Gabbr2"	chr4	-	46815637	46815739	46846280	46846451	46804058	46804124	46875664	46875802	273	0,0,196,156,206,146	0,0,143,142,140,114	197,137,141,228,194,239	128,96,116,164,159,159	198	198	1	1.0	NA,NA,0.578,0.523,0.595,0.562	0.606,0.588,0.549,0.582,0.55,0.601	-0.015
274	"ENSMUSG00000028478.18"	"Clta"	chr4	+	44030214	44030268	44031399	44031435	44025448	44025560	44032400	44032846	274	0,0,320,339,307,272	0,0,132,147,123,106	291,257,340,351,356,276	122,149,220,193,172,135	153	135	1	1.0	NA,NA,0.681,0.67,0.688,0.694	0.678,0.603,0.577,0.616,0.646,0.643	0.056
275	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569488	43569661	43569829	43569955	43569180	43569285	43570036	43570190	275	0,0,59,53,58,48	0,0,65,65,74,57	50,23,57,29,46,57	62,47,95,93,48,80	198	198	1	1.0	NA,NA,0.476,0.449,0.439,0.457	0.446,0.329,0.375,0.238,0.489,0.416	0.073
276	"ENSMUSG00000028458.12"	"Tesk1"	chr4	+	43445040	43445123	43445283	43445374	43444572	43444719	43445522	43445606	276	0,0,40,43,68,32	0,0,143,125,121,111	45,31,59,49,41,31	184,132,173,180,165,138	182	190	1	1.0	NA,NA,0.226,0.264,0.37,0.231	0.203,0.197,0.263,0.221,0.206,0.19	0.059
278	"ENSMUSG00000028433.14"	"Ubap2"	chr4	-	41211704	41211894	41216565	41216633	41209352	41209569	41218310	41218363	278	0,0,78,80,91,87	0,0,99,92,78,83	90,65,108,105,99,113	88,77,88,78,96,87	167	198	1	1.0	NA,NA,0.483,0.508,0.58,0.554	0.548,0.5,0.593,0.615,0.55,0.606	-0.037
279	"ENSMUSG00000028433.14"	"Ubap2"	chr4	-	41227198	41227276	41229694	41229848	41226279	41226334	41233603	41233714	279	0,0,160,145,142,118	0,0,96,93,80,64	202,157,204,194,126,119	95,89,92,77,66,108	198	177	1	1.0	NA,NA,0.598,0.582,0.613,0.622	0.655,0.612,0.665,0.693,0.631,0.496	-0.022
284	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36136453	36136486	36259856	36259936	36056641	36056804	36437506	36437586	284	0,0,12,10,14,6	0,0,9,3,8,0	16,22,15,17,15,21	12,13,4,12,7,4	179	132	1	1.0	NA,NA,0.496,0.711,0.563,1.0	0.496,0.555,0.734,0.511,0.612,0.795	0.075
285	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36259856	36259936	36437506	36437586	36136453	36136486	36718866	36718963	285	0,0,18,21,18,14	0,0,14,12,14,14	34,32,27,31,21,24	18,16,18,20,17,22	179	179	1	1.0	NA,NA,0.562,0.636,0.562,0.5	0.654,0.667,0.6,0.608,0.553,0.522	-0.036
286	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36437506	36437586	36718866	36718963	36259856	36259936	36950257	36950486	286	0,0,4,6,2,4	0,0,11,8,10,3	5,9,13,1,6,10	31,36,9,17,15,13	196	179	1	1.0	NA,NA,0.249,0.407,0.154,0.549	0.128,0.186,0.569,0.051,0.268,0.413	0.071
287	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36437506	36437586	36718866	36718963	36259856	36259936	36951080	36951223	287	0,0,5,13,15,5	0,0,10,8,10,3	20,14,10,23,19,7	31,37,9,17,15,13	196	179	1	1.0	NA,NA,0.313,0.597,0.578,0.604	0.371,0.257,0.504,0.553,0.536,0.33	0.098
289	"ENSMUSG00000028282.12"	"Casp8ap2"	chr4	+	32624083	32624166	32630177	32630246	32615450	32615492	32631065	32631166	289	0,0,0,0,0,0	0,0,11,4,10,9	0,1,0,0,0,0	18,18,18,18,10,8	182	168	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.0,0.049,0.0,0.0,0.0,0.0	-0.008
290	"ENSMUSG00000028282.12"	"Casp8ap2"	chr4	+	32624083	32624166	32630177	32630246	32615477	32615739	32631065	32631166	290	0,0,0,0,1,1	0,0,11,4,9,9	0,1,1,0,2,0	18,18,18,18,10,9	182	168	1	1.0	NA,NA,0.0,0.0,0.093,0.093	0.0,0.049,0.049,0.0,0.156,0.0	0.004
291	"ENSMUSG00000028221.3"	"Pip4p2"	chr4	+	14886533	14886682	14892392	14892499	14864075	14864437	14893500	14893624	291	0,0,168,172,161,124	0,0,128,105,118,124	147,127,156,146,147,150	118,145,136,143,163,99	198	198	1	1.0	NA,NA,0.568,0.621,0.577,0.5	0.555,0.467,0.534,0.505,0.474,0.602	0.044
292	"ENSMUSG00000040550.17"	"Otud6b"	chr4	-	14819094	14819215	14822691	14822772	14818175	14818488	14825498	14825653	292	0,0,376,345,366,292	0,0,0,5,6,4	388,411,346,396,402,432	15,3,6,3,3,7	180	198	1	1.0	NA,NA,1.0,0.987,0.985,0.988	0.966,0.993,0.984,0.993,0.993,0.985	0.004
305	"ENSMUSG00000038544.14"	"Inip"	chr4	-	59773915	59774006	59775446	59775549	59769636	59772459	59782253	59782334	305	0,0,30,46,31,25	0,0,26,21,25,25	45,31,44,48,32,43	21,30,29,42,39,30	198	190	1	1.0	NA,NA,0.525,0.678,0.543,0.49	0.673,0.498,0.593,0.523,0.441,0.579	0.008
328	"ENSMUSG00000090053.9"	"Pakap"	chr4	+	57568369	57568415	57638009	57638090	57434246	57434556	57647989	57648120	328	0,0,16,26,13,21	0,0,30,46,48,28	22,9,10,15,10,38	42,40,48,59,32,57	145	180	1	1.0	NA,NA,0.398,0.412,0.252,0.482	0.394,0.218,0.205,0.24,0.28,0.453	0.088
329	"ENSMUSG00000090053.9"	"Pakap"	chr4	+	57568369	57568415	57647989	57648120	57434246	57434556	57688415	57688530	329	0,0,16,26,13,21	0,0,77,95,85,60	22,9,10,14,8,38	69,106,81,100,74,89	145	198	1	1.0	NA,NA,0.221,0.272,0.173,0.323	0.303,0.104,0.144,0.16,0.129,0.368	0.046
331	"ENSMUSG00000086150.1"	"Bach2os"	chr4	-	32561533	32562009	32565507	32565554	32559679	32560574	32571583	32571662	331	0,0,0,0,0,0	0,0,2,1,3,0	0,1,0,0,0,1	2,1,0,2,3,1	146	198	1	1.0	NA,NA,0.0,0.0,0.0,NA	0.0,0.576,NA,0.0,0.0,0.576	-0.23
337	"ENSMUSG00000028218.19"	"Fam92a"	chr4	-	12155648	12155768	12157650	12157764	12153408	12153978	12164087	12164192	337	0,0,194,182,161,188	0,0,102,142,131,111	222,245,247,188,201,206	156,109,164,123,145,117	198	198	1	1.0	NA,NA,0.655,0.562,0.551,0.629	0.587,0.692,0.601,0.605,0.581,0.638	-0.018
338	"ENSMUSG00000028218.19"	"Fam92a"	chr4	-	12164268	12164274	12165765	12165771	12164087	12164192	12168222	12168324	338	0,0,189,255,259,205	0,0,0,0,0,4	262,269,293,247,256,214	0,0,2,1,0,1	105	105	1	1.0	NA,NA,1.0,1.0,1.0,0.981	1.0,1.0,0.993,0.996,1.0,0.995	-0.002
354	"ENSMUSG00000028456.18"	"Unc13b"	chr4	+	43101800	43101874	43115102	43115160	43096898	43097022	43165743	43165978	354	0,0,9,6,10,11	0,0,0,4,0,2	14,10,17,6,18,4	5,0,7,4,7,4	173	157	1	1.0	NA,NA,1.0,0.576,1.0,0.833	0.718,1.0,0.688,0.576,0.7,0.476	0.159
355	"ENSMUSG00000028456.18"	"Unc13b"	chr4	+	43215451	43217965	43227924	43227947	43209497	43209723	43230117	43230164	355	0,0,10,4,4,10	0,0,1,0,0,0	6,3,6,2,2,3	1,1,6,3,0,0	198	122	1	1.0	NA,NA,0.86,1.0,1.0,1.0	0.787,0.649,0.381,0.291,1.0,1.0	0.28
358	"ENSMUSG00000054752.16"	"Fsd1l"	chr4	+	53693983	53694084	53694607	53694859	53686387	53686517	53696889	53696978	358	0,0,4,1,10,3	0,0,12,50,47,25	10,0,6,3,2,7	35,40,37,48,40,30	198	198	1	1.0	NA,NA,0.25,0.02,0.175,0.107	0.222,0.0,0.14,0.059,0.048,0.189	0.028
