ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1277	"ENSMUSG00000024294.14"	"Mib1"	chr18	+	10792894	10793027	10778148	10778300	10794477	10794564	1277	0,0,185,155,168,208	0,0,0,0,0,0	215,196,207,224,214,206	3,0,0,0,1,0	232	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.968,1.0,1.0,1.0,0.989,1.0	0.007
1278	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10067470	10067678	10064400	10066051	10070218	10070480	1278	0,0,100,121,145,105	0,0,0,1,0,0	134,159,145,145,124,131	0,0,0,0,0,0	307	99	1	1.0	NA,NA,1.0,0.975,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.006
1279	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10073656	10073700	10073114	10073185	10079114	10079274	1279	0,0,3,6,6,10	0,0,36,47,35,44	4,6,9,6,6,16	70,40,75,59,60,55	143	99	1	1.0	NA,NA,0.055,0.081,0.106,0.136	0.038,0.094,0.077,0.066,0.065,0.168	0.01
1280	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10079114	10079274	10073114	10073185	10080350	10080539	1280	0,0,114,153,119,104	0,0,0,1,0,0	168,113,190,142,154,154	0,0,0,0,0,0	259	99	1	1.0	NA,NA,1.0,0.983,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.004
1281	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10095412	10095597	10093907	10093977	10097482	10097643	1281	0,0,149,219,198,153	0,0,0,0,0,0	265,257,261,190,224,282	0,0,0,0,2,2	284	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,0.975,0.98	0.007
1282	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10122608	10122768	10119884	10119945	10129304	10129396	1282	0,0,73,115,142,90	0,0,0,0,0,1	132,135,162,106,121,101	0,0,0,0,0,0	259	99	1	1.0	NA,NA,1.0,1.0,1.0,0.972	1.0,1.0,1.0,1.0,1.0,1.0	-0.007
1283	"ENSMUSG00000024290.9"	"Rock1"	chr18	-	10150234	10150316	10140787	10140888	10181224	10181792	1283	0,0,36,63,64,49	0,0,0,0,0,0	52,54,82,88,97,61	4,0,0,2,0,0	181	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.877,1.0,1.0,0.96,1.0,1.0	0.027
1284	"ENSMUSG00000047879.17"	"Usp14"	chr18	-	10017990	10018095	10016540	10016644	10022817	10022850	1284	0,0,394,474,431,335	0,0,147,173,153,137	464,436,480,467,388,447	105,125,126,117,140,179	204	99	1	1.0	NA,NA,0.565,0.571,0.578,0.543	0.682,0.629,0.649,0.66,0.574,0.548	-0.059
1285	"ENSMUSG00000047879.17"	"Usp14"	chr18	-	10022817	10022850	10017990	10018095	10024533	10024679	1285	0,0,315,358,329,288	0,0,0,1,0,0	343,318,413,391,272,361	0,2,0,0,2,0	132	99	1	1.0	NA,NA,1.0,0.996,1.0,1.0	1.0,0.992,1.0,1.0,0.99,1.0	0.002
1286	"ENSMUSG00000047879.17"	"Usp14"	chr18	-	10024533	10024679	10017990	10018095	10029912	10030067	1286	0,0,199,159,189,159	0,0,3,0,0,0	174,161,172,162,188,184	0,0,0,0,0,0	245	99	1	1.0	NA,NA,0.964,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.009
1287	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9959254	9959315	9959097	9959171	9962372	9962491	1287	0,0,17,23,29,16	0,0,0,4,0,0	30,22,24,32,33,23	0,0,0,0,0,0	160	99	1	1.0	NA,NA,1.0,0.781,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.055
1288	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9960485	9960552	9959097	9959315	9962372	9962491	1288	0,0,61,58,99,76	0,0,0,2,0,0	86,56,88,70,53,88	4,7,4,0,1,2	166	99	1	1.0	NA,NA,1.0,0.945,1.0,1.0	0.928,0.827,0.929,1.0,0.969,0.963	0.05
1289	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9962372	9962491	9960485	9960552	9963262	9963311	1289	0,0,93,80,135,110	0,0,0,0,0,2	110,83,107,120,67,102	2,0,2,0,3,1	218	99	1	1.0	NA,NA,1.0,1.0,1.0,0.962	0.962,1.0,0.96,1.0,0.91,0.979	0.022
1291	"ENSMUSG00000024287.8"	"Thoc1"	chr18	+	9986552	9986603	9986288	9986355	9986690	9986761	1291	0,0,46,55,57,44	0,0,0,2,0,0	60,58,71,40,51,62	0,0,0,0,0,0	150	99	1	1.0	NA,NA,1.0,0.948,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.013
1294	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7901495	7901602	7871530	7871744	7905399	7905492	1294	0,0,367,363,322,304	0,0,0,1,0,0	423,375,426,362,410,391	0,0,0,0,0,0	206	99	1	1.0	NA,NA,1.0,0.994,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1295	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7905399	7905515	7901495	7901602	7905931	7906044	1295	0,0,396,418,356,325	0,0,0,0,0,0	476,412,422,395,390,416	2,0,0,0,0,0	215	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.991,1.0,1.0,1.0,1.0,1.0	0.002
1296	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7910515	7910824	7905931	7906044	7916030	7916291	1296	0,0,393,468,398,414	0,0,0,0,0,0	526,522,410,534,487,524	0,0,0,3,1,0	408	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.977,0.992,1.0	0.005
1297	"ENSMUSG00000024283.15"	"Wac"	chr18	+	7910515	7910824	7905931	7906044	7916051	7916284	1297	0,0,579,657,607,513	0,0,37,50,34,18	722,712,616,720,664,688	56,52,44,65,36,45	408	99	1	1.0	NA,NA,0.792,0.761,0.812,0.874	0.758,0.769,0.773,0.729,0.817,0.788	0.037
1300	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7379988	7380069	7356141	7356235	7403185	7403356	1300	0,0,17,9,20,17	0,0,0,0,0,0	13,21,25,18,11,18	0,2,0,0,0,0	180	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.852,1.0,1.0,1.0,1.0	0.025
1301	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7403185	7403356	7379647	7380069	7439568	7439633	1301	0,0,44,25,20,20	0,0,0,0,1,0	26,30,39,43,18,34	0,0,1,0,0,0	270	99	1	1.0	NA,NA,1.0,1.0,0.88,1.0	1.0,1.0,0.935,1.0,1.0,1.0	-0.019
1302	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7429282	7429324	7403320	7403356	7430260	7430272	1302	0,0,0,1,3,0	0,0,0,0,0,0	7,2,0,0,2,1	0,0,1,0,0,0	141	99	1	1.0	NA,NA,NA,1.0,1.0,NA	1.0,1.0,0.0,NA,1.0,1.0	0.2
1303	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7443973	7444105	7442792	7442874	7458931	7459012	1303	0,0,18,21,10,13	0,0,0,0,2,0	17,13,19,16,23,17	0,0,0,0,0,0	231	99	1	1.0	NA,NA,1.0,1.0,0.682,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.08
1304	"ENSMUSG00000057440.8"	"Mpp7"	chr18	-	7561725	7561872	7510046	7513062	7626732	7626817	1304	0,0,3,8,16,19	0,0,1,0,0,0	13,13,16,13,14,17	1,0,0,0,0,0	246	99	1	1.0	NA,NA,0.547,1.0,1.0,1.0	0.84,1.0,1.0,1.0,1.0,1.0	-0.087
1306	"ENSMUSG00000117461.1"	"Gm50081"	chr18	+	6791105	6791234	6788767	6788823	6792056	6792107	1306	0,0,13,12,16,11	0,0,0,2,0,0	7,2,12,17,16,20	0,0,0,0,0,0	228	99	1	1.0	NA,NA,1.0,0.723,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.069
1307	"ENSMUSG00000024240.13"	"Epc1"	chr18	-	6452232	6452392	6450465	6450639	6453508	6453657	1307	0,0,127,132,168,167	0,0,0,0,0,0	191,140,165,190,183,189	0,0,3,0,0,0	259	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,0.955,1.0,1.0,1.0	0.007
1308	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6037017	6037116	6034449	6034552	6039353	6039455	1308	0,0,256,297,280,238	0,0,0,0,0,0	270,289,404,291,319,328	0,1,0,0,0,3	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.993,1.0,1.0,1.0,0.982	0.004
1310	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6039353	6039455	6037017	6037116	6049276	6049358	1310	0,0,277,322,304,250	0,0,1,0,0,0	284,272,439,304,340,322	0,0,0,0,0,0	201	99	1	1.0	NA,NA,0.993,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.002
1311	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6056978	6056993	6052861	6052923	6057516	6057591	1311	0,0,5,7,10,7	0,0,32,37,34,43	10,6,9,4,7,18	51,53,43,43,41,38	114	99	1	1.0	NA,NA,0.119,0.141,0.203,0.124	0.146,0.09,0.154,0.075,0.129,0.291	-0.001
1312	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6056978	6056993	6052861	6052923	6061846	6061972	1312	0,0,0,5,0,0	0,0,90,99,111,66	2,2,1,1,1,1	116,91,101,104,91,90	114	99	1	1.0	NA,NA,0.0,0.042,0.0,0.0	0.015,0.019,0.009,0.008,0.009,0.01	-0.001
1313	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6057516	6057591	6052861	6052923	6061846	6061972	1313	0,0,85,77,68,87	0,0,90,99,111,66	104,87,77,79,81,83	116,91,101,104,91,90	174	99	1	1.0	NA,NA,0.35,0.307,0.258,0.429	0.338,0.352,0.303,0.302,0.336,0.344	0.007
1314	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6057516	6057591	6056978	6056993	6061846	6061972	1314	0,0,58,45,44,51	0,0,0,5,0,0	61,40,42,39,47,62	0,2,0,0,1,0	174	99	1	1.0	NA,NA,1.0,0.837,1.0,1.0	1.0,0.919,1.0,1.0,0.964,1.0	-0.021
1315	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6065704	6065845	6064340	6064421	6069830	6070091	1315	0,0,165,204,143,137	0,0,27,22,34,15	128,177,178,187,156,142	20,24,41,41,23,28	240	99	1	1.0	NA,NA,0.716,0.793,0.634,0.79	0.725,0.753,0.642,0.653,0.737,0.677	0.035
1316	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6069830	6070091	6064340	6064421	6111684	6112363	1316	0,0,183,238,260,190	0,0,2,4,2,0	190,148,182,231,239,247	2,1,2,4,2,0	360	99	1	1.0	NA,NA,0.962,0.942,0.973,1.0	0.963,0.976,0.962,0.941,0.97,1.0	0.001
1317	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6073210	6073286	6069830	6070091	6135803	6135941	1317	0,0,0,4,1,0	0,0,14,22,20,8	0,0,0,3,1,0	21,23,14,20,5,17	175	99	1	1.0	NA,NA,0.0,0.093,0.028,0.0	0.0,0.0,0.0,0.078,0.102,0.0	0.0
1318	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6111684	6112439	6069830	6070091	6115813	6115850	1318	0,0,721,793,760,718	0,0,2,8,12,4	817,739,676,680,854,786	7,0,0,6,4,7	854	99	1	1.0	NA,NA,0.977,0.92,0.88,0.954	0.931,1.0,1.0,0.929,0.961,0.929	-0.026
1319	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6111684	6112439	6069830	6070091	6135803	6135888	1319	0,0,631,711,673,639	0,0,14,22,20,8	720,662,587,624,746,691	21,23,14,20,5,17	854	99	1	1.0	NA,NA,0.839,0.789,0.796,0.903	0.799,0.769,0.829,0.783,0.945,0.825	0.007
1320	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6115813	6115850	6069830	6070091	6135803	6135888	1320	0,0,11,24,41,23	0,0,14,22,20,8	25,16,17,16,30,25	21,23,14,20,5,17	136	99	1	1.0	NA,NA,0.364,0.443,0.599,0.677	0.464,0.336,0.469,0.368,0.814,0.517	0.026
1321	"ENSMUSG00000041225.16"	"Arhgap12"	chr18	-	6115813	6115850	6111684	6112439	6135803	6135888	1321	0,0,94,98,108,97	0,0,0,0,0,0	115,87,105,66,132,112	1,0,0,0,0,0	136	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.988,1.0,1.0,1.0,1.0,1.0	0.002
1323	"ENSMUSG00000063087.15"	"Gm10125"	chr18	-	5583011	5583133	5540605	5540678	5592159	5592191	1323	0,0,6,10,11,3	0,0,0,0,0,0	2,2,3,5,2,4	0,0,0,0,0,1	221	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.642	0.06
1324	"ENSMUSG00000063087.15"	"Gm10125"	chr18	-	5583712	5583796	5583011	5583133	5592159	5592190	1324	0,0,11,6,12,6	0,0,4,10,10,4	6,7,6,4,4,0	2,0,0,5,3,2	183	99	1	1.0	NA,NA,0.598,0.245,0.394,0.448	0.619,1.0,1.0,0.302,0.419,0.0	-0.135
1325	"ENSMUSG00000033960.6"	"Jcad"	chr18	+	4649074	4649405	4634877	4635031	4672514	4676167	1325	0,0,164,149,178,139	0,0,0,0,0,0	204,144,170,188,242,166	0,0,0,1,0,0	430	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.977,1.0,1.0	0.004
1326	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4379568	4379741	4375591	4375778	4380653	4380887	1326	0,0,198,193,160,187	0,0,0,0,0,0	204,177,204,183,250,138	0,0,0,2,0,0	272	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.971,1.0,1.0	0.005
1327	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4379568	4379741	4375591	4375778	4383188	4383413	1327	0,0,136,121,119,119	0,0,0,0,0,2	151,125,146,123,171,88	0,0,0,1,0,0	272	99	1	1.0	NA,NA,1.0,1.0,1.0,0.956	1.0,1.0,1.0,0.978,1.0,1.0	-0.007
1328	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4380653	4380887	4375591	4375778	4383188	4383413	1328	0,0,102,113,81,104	0,0,0,0,0,2	90,122,140,88,85,94	0,0,0,1,0,0	333	99	1	1.0	NA,NA,1.0,1.0,1.0,0.939	1.0,1.0,1.0,0.963,1.0,1.0	-0.009
1329	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4380653	4380887	4379568	4379741	4383184	4383413	1329	0,0,130,135,96,137	0,0,0,0,0,0	123,119,127,105,133,119	8,0,0,0,0,0	333	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.82,1.0,1.0,1.0,1.0,1.0	0.03
1330	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4380653	4380887	4379568	4379741	4383188	4383413	1330	0,0,164,185,124,172	0,0,0,0,2,0	143,176,198,146,164,144	0,2,0,0,0,0	333	99	1	1.0	NA,NA,1.0,1.0,0.949,1.0	1.0,0.963,1.0,1.0,1.0,1.0	-0.007
1331	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4380672	4380887	4379568	4379741	4383188	4383413	1331	0,0,130,131,100,134	0,0,0,0,2,0	132,148,176,109,111,110	0,2,0,0,0,0	314	99	1	1.0	NA,NA,1.0,1.0,0.94,1.0	1.0,0.959,1.0,1.0,1.0,1.0	-0.008
1332	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4386952	4387007	4386170	4386382	4387127	4387179	1332	0,0,37,32,25,31	0,0,0,3,2,0	14,36,49,26,36,27	4,0,6,4,0,0	154	99	1	1.0	NA,NA,1.0,0.873,0.889,1.0	0.692,1.0,0.84,0.807,1.0,1.0	0.051
1333	"ENSMUSG00000024234.7"	"Mtpap"	chr18	+	4395155	4395229	4394973	4395066	4396104	4396785	1333	0,0,101,121,102,109	0,0,4,0,0,0	112,91,106,100,85,102	1,0,0,0,0,0	173	99	1	1.0	NA,NA,0.935,1.0,1.0,1.0	0.985,1.0,1.0,1.0,1.0,1.0	-0.014
1335	"ENSMUSG00000024232.2"	"Bambi"	chr18	+	3511256	3511544	3507922	3508285	3511981	3516404	1335	0,0,107,87,91,90	0,0,0,0,0,0	33,70,79,79,62,56	0,0,0,0,0,3	387	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.827	0.029
1337	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5594372	5594472	5591911	5591967	5633203	5633357	1337	0,0,1,2,2,1	0,0,3,0,1,1	3,1,8,4,2,1	1,1,3,3,0,3	199	99	1	1.0	NA,NA,0.142,1.0,0.499,0.332	0.599,0.332,0.57,0.399,1.0,0.142	-0.014
1338	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5594372	5594472	5591911	5591967	5641381	5641459	1338	0,0,1,0,0,2	0,0,2,1,0,1	1,0,0,0,0,0	9,1,0,1,0,0	199	99	1	1.0	NA,NA,0.199,0.0,NA,0.499	0.052,0.0,NA,0.0,NA,NA	0.215
1339	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5594372	5594472	5593307	5593919	5633203	5633357	1339	0,0,0,2,3,1	0,0,12,11,12,12	4,1,10,4,3,1	18,5,8,10,2,9	199	99	1	1.0	NA,NA,0.0,0.083,0.111,0.04	0.1,0.09,0.383,0.166,0.427,0.052	-0.144
1340	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5594372	5594472	5593307	5593919	5641381	5641459	1340	0,0,0,0,0,2	0,0,3,0,0,0	2,0,2,0,1,0	1,0,0,7,4,0	199	99	1	1.0	NA,NA,0.0,NA,NA,1.0	0.499,NA,1.0,0.0,0.111,NA	0.097
1341	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5591859	5591967	5641381	5641385	1341	0,0,31,17,18,10	0,0,2,1,0,1	26,12,22,21,15,25	9,1,0,1,0,0	253	99	1	1.0	NA,NA,0.858,0.869,1.0,0.796	0.531,0.824,1.0,0.892,1.0,1.0	0.006
1342	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5591859	5591967	5705042	5706884	1342	0,0,5,2,18,6	0,0,45,48,61,48	5,4,7,14,3,9	89,68,49,70,84,74	253	99	1	1.0	NA,NA,0.042,0.016,0.104,0.047	0.022,0.022,0.053,0.073,0.014,0.045	0.014
1343	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5593860	5593919	5641381	5641385	1343	0,0,40,28,29,21	0,0,3,0,0,0	43,16,27,28,17,31	1,0,0,7,4,0	253	99	1	1.0	NA,NA,0.839,1.0,1.0,1.0	0.944,1.0,1.0,0.61,0.624,1.0	0.097
1344	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5593860	5593919	5705042	5706884	1344	0,0,14,13,29,17	0,0,14,23,20,36	22,8,12,21,5,15	20,20,40,24,22,33	253	99	1	1.0	NA,NA,0.281,0.181,0.362,0.156	0.301,0.135,0.105,0.255,0.082,0.151	0.074
1345	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5594372	5594472	5641381	5641385	1345	0,0,28,19,20,10	0,0,0,0,0,2	28,14,34,22,19,24	1,0,0,0,0,0	253	99	1	1.0	NA,NA,1.0,1.0,1.0,0.662	0.916,1.0,1.0,1.0,1.0,1.0	-0.071
1346	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5594372	5594472	5705042	5706884	1346	0,0,2,4,20,6	0,0,3,0,1,0	7,6,19,15,7,8	3,1,8,1,6,2	253	99	1	1.0	NA,NA,0.207,1.0,0.887,1.0	0.477,0.701,0.482,0.854,0.313,0.61	0.201
1347	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5603743	5604083	5641381	5641385	1347	0,0,28,19,21,11	0,0,0,0,0,1	29,13,21,18,16,24	1,0,0,3,0,1	253	99	1	1.0	NA,NA,1.0,1.0,1.0,0.811	0.919,1.0,1.0,0.701,1.0,0.904	0.032
1348	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5633203	5633357	5603743	5604083	5705042	5706884	1348	0,0,2,4,21,7	0,0,3,7,0,0	8,5,6,11,4,8	0,0,2,1,6,1	253	99	1	1.0	NA,NA,0.207,0.183,1.0,1.0	1.0,1.0,0.54,0.811,0.207,0.758	-0.122
1349	"ENSMUSG00000024238.15"	"Zeb1"	chr18	+	5641381	5641518	5591911	5591967	5705042	5705232	1349	0,0,28,21,18,12	0,0,45,48,61,48	36,14,31,20,20,16	89,68,49,70,84,74	236	99	1	1.0	NA,NA,0.207,0.155,0.11,0.095	0.145,0.079,0.21,0.107,0.091,0.083	0.023
