ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
931	"ENSMUSG00000028423.15"	"Nfx1"	chr4	+	41015202	41016150	41015202	41015433	41017971	41018073	931	0,0,45,57,56,51	0,0,0,0,0,0	54,60,78,42,37,80	0,1,0,0,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.968,1.0,1.0,1.0,1.0	0.005
937	"ENSMUSG00000028295.14"	"Smim8"	chr4	-	34771873	34772053	34771877	34772053	34771257	34771414	937	0,0,11,9,2,7	0,0,5,1,5,3	8,9,11,15,4,12	2,9,10,6,9,6	103	99	1	1.0	NA,NA,0.679,0.896,0.278,0.692	0.794,0.49,0.514,0.706,0.299,0.658	0.059
940	"ENSMUSG00000028289.12"	"Epha7"	chr4	+	28938595	28938779	28938595	28938764	28942585	28942694	940	0,0,33,34,44,49	0,0,8,7,2,3	42,42,26,34,22,62	10,10,8,4,3,6	114	99	1	1.0	NA,NA,0.782,0.808,0.95,0.934	0.785,0.785,0.738,0.881,0.864,0.9	0.043
951	"ENSMUSG00000028468.15"	"Rgp1"	chr4	+	43579374	43579509	43579374	43579424	43579886	43580023	951	0,0,40,65,75,66	0,0,7,1,5,4	64,62,85,77,80,60	6,13,8,8,5,5	184	99	1	1.0	NA,NA,0.755,0.972,0.89,0.899	0.852,0.72,0.851,0.838,0.896,0.866	0.042
953	"ENSMUSG00000073988.13"	"Ttpa"	chr4	+	20023784	20023895	20023784	20023894	20028407	20030785	953	0,0,19,20,20,25	0,0,0,0,0,0	31,27,33,21,28,21	0,1,0,0,0,0	100	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,0.964,1.0,1.0,1.0,1.0	0.006
984	"ENSMUSG00000051517.14"	"Arhgef39"	chr4	-	43497880	43498029	43497958	43498029	43497581	43497710	984	0,0,0,0,0,0	0,0,7,3,4,1	1,2,2,6,3,0	6,3,0,2,9,5	177	99	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.085,0.272,1.0,0.627,0.157,0.0	-0.357
1022	"ENSMUSG00000028252.20"	"Ccnc"	chr4	+	21735416	21735468	21735416	21735464	21740591	21740647	1022	0,0,95,144,121,109	0,0,2,2,3,1	110,135,192,138,160,128	1,3,7,0,1,4	103	99	1	1.0	NA,NA,0.979,0.986,0.975,0.991	0.991,0.977,0.963,1.0,0.994,0.969	0.0
1039	"ENSMUSG00000036062.13"	"Phf24"	chr4	+	42934632	42934818	42934632	42934770	42937840	42937919	1039	0,0,185,155,209,180	0,0,0,1,2,6	143,118,116,165,188,198	2,2,2,5,3,3	147	99	1	1.0	NA,NA,1.0,0.991,0.986,0.953	0.98,0.975,0.975,0.957,0.977,0.978	0.009
1092	"ENSMUSG00000035601.9"	"Trmt10b"	chr4	+	45301235	45301350	45301235	45301344	45304263	45304388	1092	0,0,61,63,57,53	0,0,0,0,1,1	73,59,63,64,74,74	3,2,0,0,0,2	105	99	1	1.0	NA,NA,1.0,1.0,0.982,0.98	0.958,0.965,1.0,1.0,1.0,0.972	0.008
1104	"ENSMUSG00000028218.19"	"Fam92a"	chr4	-	12168222	12168324	12168228	12168324	12164087	12164192	1104	0,0,14,2,7,2	0,0,1,7,12,9	8,4,6,3,5,1	2,4,22,3,6,6	105	99	1	1.0	NA,NA,0.93,0.212,0.355,0.173	0.79,0.485,0.205,0.485,0.44,0.136	-0.006
1205	"ENSMUSG00000028410.13"	"Dnaja1"	chr4	+	40726104	40728183	40726104	40726209	40730172	40730287	1205	0,0,1009,1243,1252,1066	0,0,0,0,0,3	1431,1257,1351,1374,1382,1444	0,0,3,4,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,0.994	1.0,1.0,0.996,0.994,1.0,1.0	0.0
1298	"ENSMUSG00000028441.12"	"1110017D15Rik"	chr4	-	41507093	41507328	41507098	41507328	41505567	41505654	1298	0,0,2,0,0,4	0,0,11,18,13,13	0,0,0,3,4,2	8,9,10,11,20,12	104	99	1	1.0	NA,NA,0.148,0.0,0.0,0.227	0.0,0.0,0.0,0.206,0.16,0.137	0.01
1395	"ENSMUSG00000028382.15"	"Ptbp3"	chr4	-	59524394	59524476	59524403	59524476	59517585	59517755	1395	0,0,29,47,56,33	0,0,2,5,17,6	39,37,41,20,52,43	7,6,6,5,5,5	108	99	1	1.0	NA,NA,0.93,0.896,0.751,0.834	0.836,0.85,0.862,0.786,0.905,0.887	-0.002
1402	"ENSMUSG00000035696.15"	"Rnf38"	chr4	-	44158902	44159052	44158989	44159052	44152359	44152553	1402	0,0,24,11,22,11	0,0,4,0,0,0	19,28,20,15,23,23	2,0,1,3,1,0	186	99	1	1.0	NA,NA,0.762,1.0,1.0,1.0	0.835,1.0,0.914,0.727,0.924,1.0	0.04
1563	"ENSMUSG00000032827.15"	"Ppp1r9a"	chr6	+	5154008	5154318	5154008	5154207	5156120	5156240	1563	0,0,1,0,3,2	0,0,30,31,15,17	2,0,5,5,3,6	27,23,25,26,27,18	198	99	1	1.0	NA,NA,0.016,0.0,0.091,0.056	0.036,0.0,0.091,0.088,0.053,0.143	-0.028
1590	"ENSMUSG00000042228.14"	"Lyn"	chr4	+	3738724	3738861	3738724	3738798	3742441	3742487	1590	0,0,52,70,87,62	0,0,22,46,26,16	50,56,60,68,64,75	20,39,22,37,31,25	162	99	1	1.0	NA,NA,0.591,0.482,0.672,0.703	0.604,0.467,0.625,0.529,0.558,0.647	0.04
1591	"ENSMUSG00000042228.14"	"Lyn"	chr4	+	3738724	3738861	3738724	3738798	3743196	3743302	1591	0,0,12,20,16,13	0,0,0,2,0,0	15,7,17,24,25,25	1,0,0,4,1,0	162	99	1	1.0	NA,NA,1.0,0.859,1.0,1.0	0.902,1.0,1.0,0.786,0.939,1.0	0.027
1635	"ENSMUSG00000055296.14"	"Tmem245"	chr4	-	56903353	56904049	56903917	56904049	56903211	56903247	1635	0,0,4,5,3,4	0,0,2,3,2,2	7,5,3,4,1,3	4,1,1,1,9,3	198	99	1	1.0	NA,NA,0.5,0.455,0.429,0.5	0.467,0.714,0.6,0.667,0.053,0.333	-0.001
1636	"ENSMUSG00000055296.14"	"Tmem245"	chr4	-	56911940	56912130	56912047	56912130	56910156	56910247	1636	0,0,0,0,0,1	0,0,38,30,38,50	0,0,0,0,0,0	44,43,55,34,39,36	198	99	1	1.0	NA,NA,0.0,0.0,0.0,0.01	0.0,0.0,0.0,0.0,0.0,0.0	0.003
1810	"ENSMUSG00000041216.15"	"Clvs1"	chr4	+	9281387	9282012	9281387	9282008	9424185	9424296	1810	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,1,2	0,0,0,0,0,0	103	99	1	1.0	NA,NA,0.0,NA,NA,NA	NA,NA,NA,NA,1.0,1.0	-1.0
1812	"ENSMUSG00000047193.16"	"Dync2h1"	chr9	-	7101304	7101600	7101491	7101600	7101073	7101187	1812	0,0,1,1,0,0	0,0,34,18,20,15	1,0,1,0,1,0	18,16,20,17,24,15	198	99	1	1.0	NA,NA,0.014,0.027,0.0,0.0	0.027,0.0,0.024,0.0,0.02,0.0	-0.002
1832	"ENSMUSG00000028439.14"	"Fam219a"	chr4	-	41569176	41569537	41569209	41569537	41524365	41524414	1832	0,0,295,236,306,239	0,0,8,6,13,19	320,281,325,328,361,289	17,18,31,17,13,10	132	99	1	1.0	NA,NA,0.965,0.967,0.946,0.904	0.934,0.921,0.887,0.935,0.954,0.956	0.014
1834	"ENSMUSG00000028294.15"	"Cfap206"	chr4	-	34730059	34730195	34730063	34730195	34728795	34728908	1834	0,0,8,7,11,10	0,0,6,2,7,4	5,20,3,11,23,13	2,11,2,6,11,3	103	99	1	1.0	NA,NA,0.562,0.771,0.602,0.706	0.706,0.636,0.59,0.638,0.668,0.806	-0.014
1835	"ENSMUSG00000028294.15"	"Cfap206"	chr4	-	34730059	34730195	34730066	34730195	34728795	34728908	1835	0,0,8,7,11,10	0,0,2,0,0,1	5,20,3,11,23,13	0,0,0,2,0,1	106	99	1	1.0	NA,NA,0.789,1.0,1.0,0.903	1.0,1.0,1.0,0.837,1.0,0.924	-0.037
1836	"ENSMUSG00000028294.15"	"Cfap206"	chr4	-	34730063	34730195	34730066	34730195	34728795	34728908	1836	0,0,6,2,7,4	0,0,2,0,0,1	2,11,2,6,11,3	0,0,0,2,0,1	102	99	1	1.0	NA,NA,0.744,1.0,1.0,0.795	1.0,1.0,1.0,0.744,1.0,0.744	-0.03
1948	"ENSMUSG00000042198.12"	"Chchd7"	chr4	+	3938913	3939131	3938913	3938962	3939423	3939526	1948	0,0,56,62,59,41	0,0,4,5,2,0	65,58,71,91,50,50	4,1,3,1,6,3	198	99	1	1.0	NA,NA,0.875,0.861,0.937,1.0	0.89,0.967,0.922,0.978,0.806,0.893	0.009
1952	"ENSMUSG00000050323.14"	"Ndufaf6"	chr4	-	11073139	11073243	11073143	11073243	11070199	11070322	1952	0,0,7,0,2,3	0,0,13,18,25,14	3,10,0,7,2,1	28,28,16,31,37,45	103	99	1	1.0	NA,NA,0.341,0.0,0.071,0.171	0.093,0.256,0.0,0.178,0.049,0.021	0.046
2310	"ENSMUSG00000025887.10"	"Casp12"	chr9	+	5346481	5346733	5346481	5346523	5348898	5348958	2310	0,0,59,72,44,53	0,0,0,0,0,0	61,63,72,60,50,43	4,0,1,0,1,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.884,1.0,0.973,1.0,0.962,1.0	0.03
2353	"ENSMUSG00000049723.14"	"Mmp12"	chr9	+	7347490	7347575	7347490	7347538	7348677	7348832	2353	0,0,0,0,0,1	0,0,0,0,0,0	0,0,0,3,1,1	0,0,2,0,0,0	136	99	1	1.0	NA,NA,NA,NA,NA,1.0	NA,NA,0.0,1.0,1.0,1.0	0.25
2543	"ENSMUSG00000028453.10"	"Fancg"	chr4	-	43006983	43007114	43007048	43007114	43006749	43006896	2543	0,0,16,30,23,11	0,0,0,0,0,0	26,22,21,17,15,28	1,0,1,0,0,0	164	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	0.94,1.0,0.927,1.0,1.0,1.0	0.022
2544	"ENSMUSG00000028453.10"	"Fancg"	chr4	-	43006983	43007403	43007267	43007403	43006749	43006896	2544	0,0,11,19,11,9	0,0,0,0,0,0	18,16,16,12,15,18	0,0,0,1,0,0	198	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.857,1.0,1.0	0.024
2598	"ENSMUSG00000036073.17"	"Galt"	chr4	+	41756512	41756811	41756512	41756561	41756938	41756995	2598	0,0,90,71,65,64	0,0,18,8,15,12	75,84,103,62,109,79	11,14,14,10,13,17	198	99	1	1.0	NA,NA,0.714,0.816,0.684,0.727	0.773,0.75,0.786,0.756,0.807,0.699	-0.027
2626	"ENSMUSG00000040410.14"	"Fbxl4"	chr4	+	22422716	22423927	22422716	22422788	22427149	22427462	2626	0,0,0,4,1,11	0,0,55,36,38,32	4,1,0,1,2,0	48,35,81,54,33,47	198	99	1	1.0	NA,NA,0.0,0.053,0.013,0.147	0.04,0.014,0.0,0.009,0.029,0.0	0.038
2667	"ENSMUSG00000028284.13"	"Map3k7"	chr4	+	31988588	31988719	31988588	31988715	31989933	31990015	2667	0,0,82,87,79,76	0,0,2,5,1,3	88,106,83,102,86,95	6,2,9,6,11,5	103	99	1	1.0	NA,NA,0.975,0.944,0.987,0.961	0.934,0.981,0.899,0.942,0.883,0.948	0.036
2668	"ENSMUSG00000028284.13"	"Map3k7"	chr4	+	31994873	31995010	31994873	31994954	32002088	32002153	2668	0,0,0,0,1,3	0,0,14,6,19,18	2,4,0,0,2,8	14,25,31,27,13,19	155	99	1	1.0	NA,NA,0.0,0.0,0.033,0.096	0.084,0.093,0.0,0.0,0.089,0.212	-0.047
2736	"ENSMUSG00000028312.19"	"Smc2"	chr4	+	52439242	52439410	52439242	52439334	52440200	52440423	2736	0,0,21,24,23,42	0,0,4,4,6,7	22,41,37,43,41,40	6,12,9,9,8,10	175	99	1	1.0	NA,NA,0.748,0.772,0.684,0.772	0.675,0.659,0.699,0.73,0.744,0.694	0.044
2737	"ENSMUSG00000028312.19"	"Smc2"	chr4	+	52439242	52439410	52439242	52439334	52442252	52442402	2737	0,0,4,3,3,0	0,0,0,0,0,0	1,3,0,5,3,1	3,0,0,0,0,0	175	99	1	1.0	NA,NA,1.0,1.0,1.0,NA	0.159,1.0,NA,1.0,1.0,1.0	0.168
2921	"ENSMUSG00000025899.14"	"Alkbh8"	chr9	+	3335477	3335748	3335477	3335594	3338455	3338591	2921	0,0,61,71,64,55	0,0,24,28,42,30	82,54,46,71,69,74	37,30,37,38,29,37	198	99	1	1.0	NA,NA,0.56,0.559,0.432,0.478	0.526,0.474,0.383,0.483,0.543,0.5	0.022
