ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
98	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10588438	10588550	10593745	10595875	10585977	10586041	10596338	10596441	98	0,0,389,484,627,404	0,0,29,42,27,18	574,537,466,465,503,448	30,18,38,31,38,25	2229	211	1	1.0	NA,NA,0.559,0.522,0.687,0.68	0.644,0.738,0.537,0.587,0.556,0.629	-0.003
99	"ENSMUSG00000024293.16"	"Esco1"	chr18	-	10588438	10588550	10595675	10595875	10585977	10586041	10596338	10596441	99	0,0,46,66,45,28	0,0,29,42,27,18	49,40,41,40,46,47	30,18,38,31,38,25	299	211	1	1.0	NA,NA,0.528,0.526,0.54,0.523	0.535,0.611,0.432,0.477,0.461,0.57	0.015
124	"ENSMUSG00000019843.14"	"Fyn"	chr10	+	39529436	39529601	39529918	39530074	39526780	39526930	39532015	39532195	124	3,1,4,2,5,5	0,0,0,1,0,0	2,1,2,0,2,1	0,0,0,0,0,0	264	255	1	1.0	1.0,1.0,1.0,0.659,1.0,1.0	1.0,1.0,1.0,NA,1.0,1.0	-0.057
134	"ENSMUSG00000028416.13"	"Bag1"	chr4	-	40939076	40939184	40941524	40941638	40937131	40937194	40943624	40943707	134	0,0,362,461,410,356	0,0,384,438,404,303	405,479,518,351,462,398	374,474,517,431,399,381	213	207	1	1.0	NA,NA,0.478,0.506,0.497,0.533	0.513,0.495,0.493,0.442,0.529,0.504	0.007
156	"ENSMUSG00000024236.18"	"Svil"	chr18	+	5054017	5054098	5055979	5056849	5048884	5049494	5058124	5058159	156	0,0,0,0,0,0	0,0,6,0,1,0	0,2,1,0,0,0	2,4,4,14,7,5	180	969	1	1.0	NA,NA,0.0,NA,0.0,NA	0.0,0.729,0.574,0.0,0.0,0.0	-0.217
157	"ENSMUSG00000024236.18"	"Svil"	chr18	+	5054017	5054098	5057274	5057439	5048884	5049494	5058124	5058159	157	0,0,0,0,0,0	0,0,0,1,4,0	0,2,1,0,0,0	2,2,4,3,5,0	180	264	1	1.0	NA,NA,NA,0.0,0.0,NA	0.0,0.595,0.268,0.0,0.0,NA	-0.173
158	"ENSMUSG00000024236.18"	"Svil"	chr18	+	5055979	5056849	5057274	5057439	5048884	5049494	5058124	5058159	158	0,0,6,0,1,0	0,0,0,1,4,0	2,4,4,14,7,5	2,2,4,3,5,0	969	264	1	1.0	NA,NA,1.0,0.0,0.064,NA	0.214,0.353,0.214,0.56,0.276,1.0	-0.081
162	"ENSMUSG00000028414.17"	"Fktn"	chr4	+	53724604	53724742	53729979	53730039	53720006	53720209	53731131	53731335	162	0,0,7,10,19,14	0,0,41,73,53,26	13,11,11,19,14,11	78,66,75,59,63,82	237	159	1	1.0	NA,NA,0.103,0.084,0.194,0.265	0.101,0.101,0.09,0.178,0.13,0.083	0.048
169	"ENSMUSG00000024286.8"	"Ccny"	chr18	-	9349387	9349423	9377793	9377828	9345413	9345471	9386734	9386809	169	0,0,20,31,20,30	0,0,55,62,57,58	35,40,39,33,28,57	76,65,71,50,89,59	134	135	1	1.0	NA,NA,0.268,0.335,0.261,0.343	0.317,0.383,0.356,0.399,0.241,0.493	-0.063
170	"ENSMUSG00000029767.16"	"Calu"	chr6	+	29361293	29361487	29361559	29361753	29356470	29356697	29366039	29366206	170	0,0,191,171,193,180	0,0,101,123,141,105	235,226,254,196,212,226	137,183,172,118,109,127	293	293	1	1.0	NA,NA,0.654,0.582,0.578,0.632	0.632,0.553,0.596,0.624,0.66,0.64	-0.006
174	"ENSMUSG00000062995.12"	"Ica1"	chr6	-	8653496	8653535	8653629	8653692	8643972	8644242	8656361	8656408	174	0,0,33,39,42,27	0,0,31,47,52,21	26,36,61,30,51,37	49,36,46,43,39,54	162	138	1	1.0	NA,NA,0.476,0.414,0.408,0.523	0.311,0.46,0.53,0.373,0.527,0.369	0.027
176	"ENSMUSG00000062995.12"	"Ica1"	chr6	-	8653629	8653692	8656361	8656408	8653496	8653535	8658219	8658314	176	0,0,41,53,43,21	0,0,32,23,46,48	43,41,47,37,42,42	37,47,44,44,35,39	146	162	1	1.0	NA,NA,0.587,0.719,0.509,0.327	0.563,0.492,0.542,0.483,0.571,0.544	0.003
177	"ENSMUSG00000062995.12"	"Ica1"	chr6	-	8754588	8754751	8758365	8758458	8749694	8749767	8778071	8778154	177	0,0,9,23,14,22	0,0,118,159,151,150	19,22,10,32,14,22	159,145,190,232,206,213	192	262	1	1.0	NA,NA,0.094,0.165,0.112,0.167	0.14,0.172,0.067,0.158,0.085,0.124	0.01
178	"ENSMUSG00000107705.1"	"Gm45062"	chr6	+	8373905	8373967	8426970	8427185	8270472	8270581	8537816	8537968	178	0,0,36,15,32,33	0,0,39,46,40,52	53,37,44,49,55,35	52,47,63,65,60,50	161	314	1	1.0	NA,NA,0.643,0.389,0.609,0.553	0.665,0.606,0.577,0.595,0.641,0.577	-0.062
181	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57638009	57638090	57647989	57648120	57568178	57568415	57688415	57688530	181	0,0,16,12,15,10	0,0,77,96,85,61	22,16,17,27,25,15	69,105,81,102,77,89	180	230	1	1.0	NA,NA,0.21,0.138,0.184,0.173	0.289,0.163,0.211,0.253,0.293,0.177	-0.055
182	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57647989	57648120	57688415	57688530	57637822	57638090	57689522	57689544	182	0,0,50,57,55,42	0,0,45,83,81,64	55,42,63,55,46,89	79,88,78,87,64,73	230	214	1	1.0	NA,NA,0.508,0.39,0.387,0.379	0.393,0.308,0.429,0.37,0.401,0.531	0.011
183	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57688415	57688530	57689522	57689544	57647989	57648120	57757600	57757683	183	0,0,72,90,84,60	0,0,6,2,6,5	61,101,71,106,67,81	10,12,10,9,11,7	214	121	1	1.0	NA,NA,0.872,0.962,0.888,0.872	0.775,0.826,0.801,0.869,0.775,0.867	0.08
184	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57689522	57689544	57757600	57757683	57688415	57688530	57854561	57854584	184	0,0,7,12,7,1	0,0,29,45,50,48	15,7,10,7,7,5	32,32,36,21,30,36	121	182	1	1.0	NA,NA,0.266,0.286,0.174,0.03	0.414,0.248,0.295,0.334,0.26,0.173	-0.098
186	"ENSMUSG00000089945.13"	"Pakap"	chr4	+	57757600	57757683	57854561	57857037	57689522	57689544	57883023	57883202	186	0,0,21,41,43,31	0,0,1020,1299,1504,1098	35,42,29,52,35,33	1291,1488,1465,1395,1308,1131	182	2575	1	1.0	NA,NA,0.226,0.309,0.288,0.285	0.277,0.285,0.219,0.345,0.275,0.292	-0.005
191	"ENSMUSG00000028292.14"	"Rars2"	chr4	+	34646507	34646614	34647785	34647881	34645696	34645855	34650190	34650251	191	0,0,26,41,54,43	0,0,51,64,49,53	87,44,69,61,57,36	87,53,101,78,68,55	206	195	1	1.0	NA,NA,0.326,0.377,0.511,0.434	0.486,0.44,0.393,0.425,0.442,0.383	-0.016
212	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21857179	21857368	21859083	21859307	21854244	21854445	21860819	21860991	212	0,0,331,563,544,547	0,0,169,231,221,198	698,639,459,707,479,601	258,231,248,194,207,251	288	323	1	1.0	NA,NA,0.687,0.732,0.734,0.756	0.752,0.756,0.675,0.803,0.722,0.729	-0.012
213	"ENSMUSG00000028248.15"	"Pnisr"	chr4	+	21857179	21857368	21859083	21859307	21854346	21854445	21860877	21860991	213	0,0,332,570,539,552	0,0,64,97,86,76	705,639,461,703,479,599	120,113,103,89,77,73	288	323	1	1.0	NA,NA,0.853,0.868,0.875,0.891	0.868,0.864,0.834,0.899,0.875,0.902	-0.002
220	"ENSMUSG00000028411.15"	"Aptx"	chr4	-	40694851	40695136	40695376	40695423	40693389	40693449	40697216	40697353	220	0,0,33,41,26,39	0,0,188,174,176,144	40,34,36,36,48,38	239,199,223,201,201,204	146	384	1	1.0	NA,NA,0.316,0.383,0.28,0.416	0.306,0.31,0.298,0.32,0.386,0.329	0.024
221	"ENSMUSG00000028411.15"	"Aptx"	chr4	-	40695376	40695418	40697216	40697353	40694851	40695136	40703136	40703187	221	0,0,22,25,24,39	0,0,27,29,34,25	36,23,37,40,34,27	26,28,29,37,22,25	236	141	1	1.0	NA,NA,0.327,0.34,0.297,0.482	0.453,0.329,0.433,0.392,0.48,0.392	-0.052
222	"ENSMUSG00000028411.15"	"Aptx"	chr4	-	40695376	40695423	40697216	40697353	40694851	40695136	40703136	40703194	222	0,0,22,25,24,39	0,0,32,29,34,32	36,23,37,40,34,27	27,30,32,42,22,27	236	146	1	1.0	NA,NA,0.298,0.348,0.304,0.43	0.452,0.322,0.417,0.371,0.489,0.382	-0.061
225	"ENSMUSG00000028409.11"	"Smu1"	chr4	-	40753486	40753597	40754507	40754660	40751924	40752053	40755626	40755837	225	0,0,237,276,261,202	0,0,118,119,139,110	324,241,263,326,321,375	128,129,195,146,178,131	252	210	1	1.0	NA,NA,0.626,0.659,0.61,0.605	0.678,0.609,0.529,0.65,0.6,0.705	-0.003
226	"ENSMUSG00000028409.11"	"Smu1"	chr4	-	40754507	40754660	40755626	40755837	40753486	40753597	40757776	40757883	226	0,0,279,308,281,297	0,0,145,122,136,101	436,365,401,454,457,499	172,176,165,173,189,160	310	252	1	1.0	NA,NA,0.61,0.672,0.627,0.705	0.673,0.628,0.664,0.681,0.663,0.717	-0.017
231	"ENSMUSG00000040464.15"	"Gtpbp10"	chr5	-	5555237	5555382	5556064	5556156	5546352	5546405	5557212	5557406	231	0,0,0,0,2,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,2,0,1	191	244	1	1.0	NA,NA,NA,NA,1.0,NA	NA,NA,1.0,0.0,NA,0.0	0.667
234	"ENSMUSG00000028347.14"	"Tmeff1"	chr4	+	48636839	48636988	48650294	48650418	48617231	48617331	48658773	48658932	234	0,0,363,312,322,275	0,0,329,299,345,224	431,418,473,392,450,353	388,388,437,351,342,341	248	223	1	1.0	NA,NA,0.498,0.484,0.456,0.525	0.5,0.492,0.493,0.501,0.542,0.482	-0.011
235	"ENSMUSG00000028347.14"	"Tmeff1"	chr4	+	48638979	48639045	48650294	48650418	48636839	48636988	48658773	48658932	235	0,0,199,162,197,174	0,0,329,299,345,224	271,269,262,225,244,213	388,388,439,353,342,340	165	223	1	1.0	NA,NA,0.45,0.423,0.436,0.512	0.486,0.484,0.446,0.463,0.491,0.458	-0.016
236	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769649	5769791	5800774	5800890	5767029	5767144	5905104	5905194	236	0,0,0,2,5,0	0,0,117,84,103,91	0,0,1,1,2,0	79,78,84,82,101,81	241	215	1	1.0	NA,NA,0.0,0.021,0.042,0.0	0.0,0.0,0.011,0.011,0.017,0.0	0.009
237	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769700	5769791	5784438	5784498	5767029	5767144	5800774	5800890	237	0,0,132,138,139,95	0,0,44,39,46,39	128,152,127,129,140,154	34,27,39,29,37,35	190	159	1	1.0	NA,NA,0.715,0.748,0.717,0.671	0.759,0.825,0.732,0.788,0.76,0.786	-0.062
238	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769700	5769791	5800774	5800890	5767029	5767144	5905104	5905194	238	0,0,108,93,115,71	0,0,117,84,103,91	96,95,97,80,99,115	79,78,84,82,101,81	190	215	1	1.0	NA,NA,0.511,0.556,0.558,0.469	0.579,0.58,0.566,0.525,0.526,0.616	-0.042
239	"ENSMUSG00000029757.16"	"Dync1i1"	chr6	+	5769733	5769791	5800774	5800890	5767029	5767144	5905104	5905194	239	0,0,23,12,11,3	0,0,117,84,103,91	3,6,10,10,11,12	79,78,84,82,101,81	157	215	1	1.0	NA,NA,0.212,0.164,0.128,0.043	0.049,0.095,0.14,0.143,0.13,0.169	0.016
257	"ENSMUSG00000036241.3"	"Ube2r2"	chr4	+	41174040	41174127	41183244	41183342	41135742	41136246	41189151	41189286	257	0,0,142,133,134,144	0,0,266,251,269,180	162,146,174,206,166,170	222,266,350,252,246,217	186	197	1	1.0	NA,NA,0.361,0.359,0.345,0.459	0.436,0.368,0.345,0.464,0.417,0.453	-0.033
258	"ENSMUSG00000036241.3"	"Ube2r2"	chr4	+	41183244	41183342	41189151	41189286	41174040	41174127	41190604	41193380	258	0,0,201,175,206,170	0,0,443,461,409,364	184,245,199,191,176,161	439,426,604,486,462,457	197	234	1	1.0	NA,NA,0.35,0.311,0.374,0.357	0.332,0.406,0.281,0.318,0.312,0.295	0.024
262	"ENSMUSG00000050812.18"	"Ecpas"	chr4	-	58819142	58819264	58820127	58820175	58817399	58817550	58821362	58821468	262	0,0,31,33,40,47	0,0,94,92,93,66	44,33,36,44,45,35	87,69,111,87,84,92	147	221	1	1.0	NA,NA,0.331,0.35,0.393,0.517	0.432,0.418,0.328,0.432,0.446,0.364	-0.006
263	"ENSMUSG00000038764.14"	"Ptpn3"	chr4	-	57262428	57262507	57264865	57264908	57257974	57258019	57264982	57265090	263	0,0,11,9,8,8	0,0,14,9,12,12	9,5,13,13,10,9	11,10,9,13,11,10	142	178	1	1.0	NA,NA,0.496,0.556,0.455,0.455	0.506,0.385,0.644,0.556,0.533,0.53	-0.035
264	"ENSMUSG00000028434.12"	"Epb41l4b"	chr4	-	57068304	57068338	57071051	57071082	57064798	57064863	57073261	57073371	264	0,0,12,1,2,4	0,0,2,0,4,6	2,2,0,5,5,3	4,5,2,2,5,3	130	133	1	1.0	NA,NA,0.86,1.0,0.338,0.405	0.338,0.29,0.0,0.719,0.506,0.506	0.258
265	"ENSMUSG00000028426.10"	"Rad23b"	chr4	+	55380988	55381116	55382479	55382615	55378233	55378289	55383586	55383714	265	0,0,274,323,319,274	0,0,551,592,641,499	370,385,347,381,407,285	586,638,690,639,693,564	227	235	1	1.0	NA,NA,0.34,0.361,0.34,0.362	0.395,0.385,0.342,0.382,0.378,0.343	-0.02
266	"ENSMUSG00000028426.10"	"Rad23b"	chr4	+	55382479	55382615	55383586	55383714	55380988	55381116	55385409	55385601	266	0,0,581,613,608,570	0,0,264,318,388,296	686,659,729,679,657,569	415,367,398,329,399,366	235	227	1	1.0	NA,NA,0.68,0.651,0.602,0.65	0.615,0.634,0.639,0.666,0.614,0.6	0.018
268	"ENSMUSG00000028412.17"	"Slc44a1"	chr4	+	53481463	53481553	53491387	53491530	53440670	53440716	53517544	53517681	268	0,0,56,44,47,26	0,0,346,280,317,274	62,50,75,66,51,65	433,439,436,437,434,331	189	242	1	1.0	NA,NA,0.172,0.168,0.16,0.108	0.155,0.127,0.181,0.162,0.131,0.201	-0.008
269	"ENSMUSG00000028412.17"	"Slc44a1"	chr4	+	53528654	53528748	53538389	53538479	53517544	53517681	53541300	53541440	269	0,0,185,196,186,159	0,0,149,144,148,136	255,203,251,223,210,196	186,169,215,196,197,204	193	189	1	1.0	NA,NA,0.549,0.571,0.552,0.534	0.573,0.541,0.533,0.527,0.511,0.485	0.023
271	"ENSMUSG00000063446.4"	"Plppr1"	chr4	+	49206387	49206495	49282255	49282444	49059281	49059617	49300920	49301053	271	0,0,31,8,13,11	0,0,58,41,62,59	35,9,19,29,15,13	72,67,62,70,67,76	207	288	1	1.0	NA,NA,0.426,0.214,0.226,0.206	0.403,0.157,0.299,0.366,0.238,0.192	-0.008
272	"ENSMUSG00000039809.10"	"Gabbr2"	chr4	-	46804058	46804124	46815637	46815739	46798476	46798677	46846280	46846451	272	0,0,133,128,146,110	0,0,49,53,54,46	137,98,86,135,140,155	44,53,57,58,49,53	201	165	1	1.0	NA,NA,0.69,0.665,0.689,0.663	0.719,0.603,0.553,0.656,0.701,0.706	0.02
273	"ENSMUSG00000039809.10"	"Gabbr2"	chr4	-	46815637	46815739	46846280	46846451	46804058	46804124	46875664	46875802	273	0,0,212,180,229,161	0,0,143,142,140,114	222,148,157,249,203,259	128,96,116,167,159,159	270	201	1	1.0	NA,NA,0.525,0.486,0.549,0.513	0.564,0.534,0.502,0.526,0.487,0.548	-0.009
274	"ENSMUSG00000028478.18"	"Clta"	chr4	+	44030214	44030268	44031399	44031435	44025448	44025560	44032400	44032846	274	0,0,320,339,307,272	0,0,132,147,123,106	291,257,340,351,356,276	122,149,220,193,172,135	153	135	1	1.0	NA,NA,0.681,0.67,0.688,0.694	0.678,0.603,0.577,0.616,0.646,0.643	0.056
275	"ENSMUSG00000028467.15"	"Gba2"	chr4	-	43569488	43569661	43569829	43569955	43569180	43569285	43570036	43570190	275	0,0,59,53,59,48	0,0,81,85,85,67	50,23,57,29,46,57	80,56,106,99,54,97	225	272	1	1.0	NA,NA,0.468,0.43,0.456,0.464	0.43,0.332,0.394,0.262,0.507,0.415	0.064
276	"ENSMUSG00000028458.12"	"Tesk1"	chr4	+	43445040	43445123	43445283	43445374	43444572	43444719	43445522	43445606	276	0,0,40,43,68,32	0,0,143,125,121,111	45,31,59,49,41,31	184,132,173,180,165,138	182	190	1	1.0	NA,NA,0.226,0.264,0.37,0.231	0.203,0.197,0.263,0.221,0.206,0.19	0.059
278	"ENSMUSG00000028433.14"	"Ubap2"	chr4	-	41211704	41211894	41216565	41216633	41209352	41209569	41218310	41218363	278	0,0,78,80,91,87	0,0,154,117,129,112	90,65,108,105,99,113	119,117,132,119,139,120	167	289	1	1.0	NA,NA,0.467,0.542,0.55,0.573	0.567,0.49,0.586,0.604,0.552,0.62	-0.037
279	"ENSMUSG00000028433.14"	"Ubap2"	chr4	-	41227198	41227276	41229694	41229848	41226279	41226334	41233603	41233714	279	0,0,169,155,151,124	0,0,96,93,80,64	222,163,208,205,130,128	95,89,92,77,66,108	253	177	1	1.0	NA,NA,0.552,0.538,0.569,0.575	0.62,0.562,0.613,0.651,0.579,0.453	-0.021
284	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36136453	36136486	36259856	36259936	36056641	36056804	36437506	36437586	284	0,0,12,10,14,6	0,0,9,3,8,0	16,22,15,17,15,21	12,13,4,12,7,4	179	132	1	1.0	NA,NA,0.496,0.711,0.563,1.0	0.496,0.555,0.734,0.511,0.612,0.795	0.075
285	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36259856	36259936	36437506	36437586	36136453	36136486	36718866	36718963	285	0,0,18,21,18,14	0,0,14,12,14,14	34,32,27,31,21,24	18,16,18,20,17,22	179	179	1	1.0	NA,NA,0.562,0.636,0.562,0.5	0.654,0.667,0.6,0.608,0.553,0.522	-0.036
286	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36437506	36437586	36718866	36718963	36259856	36259936	36950257	36950486	286	0,0,4,6,2,4	0,0,11,8,10,3	5,9,13,1,6,10	31,36,9,17,15,13	196	179	1	1.0	NA,NA,0.249,0.407,0.154,0.549	0.128,0.186,0.569,0.051,0.268,0.413	0.071
287	"ENSMUSG00000045083.14"	"Lingo2"	chr4	-	36437506	36437586	36718866	36718963	36259856	36259936	36951080	36951223	287	0,0,5,13,15,5	0,0,10,8,10,3	20,14,10,23,19,7	31,37,9,17,15,13	196	179	1	1.0	NA,NA,0.313,0.597,0.578,0.604	0.371,0.257,0.504,0.553,0.536,0.33	0.098
289	"ENSMUSG00000028282.12"	"Casp8ap2"	chr4	+	32624083	32624166	32630177	32630246	32615450	32615492	32631065	32631166	289	0,0,0,0,0,0	0,0,11,4,10,9	0,1,0,0,0,0	18,18,18,18,10,8	182	168	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.0,0.049,0.0,0.0,0.0,0.0	-0.008
290	"ENSMUSG00000028282.12"	"Casp8ap2"	chr4	+	32624083	32624166	32630177	32630246	32615477	32615739	32631065	32631166	290	0,0,0,0,1,1	0,0,11,4,9,9	0,1,1,0,2,0	18,18,18,18,10,9	182	168	1	1.0	NA,NA,0.0,0.0,0.093,0.093	0.0,0.049,0.049,0.0,0.156,0.0	0.004
291	"ENSMUSG00000028221.3"	"Pip4p2"	chr4	+	14886533	14886682	14892392	14892499	14864075	14864437	14893500	14893624	291	0,0,171,172,164,125	0,0,128,106,118,124	150,129,158,146,150,153	118,147,136,143,163,100	248	206	1	1.0	NA,NA,0.526,0.574,0.536,0.456	0.514,0.422,0.491,0.459,0.433,0.56	0.043
292	"ENSMUSG00000040550.17"	"Otud6b"	chr4	-	14819094	14819215	14822691	14822772	14818175	14818488	14825498	14825653	292	0,0,376,345,366,292	0,0,0,5,6,4	388,411,346,396,402,433	15,3,6,3,3,7	180	220	1	1.0	NA,NA,1.0,0.988,0.987,0.989	0.969,0.994,0.986,0.994,0.994,0.987	0.004
303	"ENSMUSG00000020167.14"	"Tcf3"	chr10	-	80410397	80410624	80412826	80413062	80409546	80410274	80413204	80413337	303	19,8,6,10,8,11	0,0,0,0,1,0	12,6,7,10,24,9	0,0,0,2,0,0	335	326	1	1.0	1.0,1.0,1.0,1.0,0.886,1.0	1.0,1.0,1.0,0.83,1.0,1.0	0.009
