ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1197	"ENSMUSG00000073889.10"	"Il11ra1"	chr4	+	41765385	41766274	41765385	41765552	41766110	41766274	1197	0,0,5,8,14,14	0,0,100,101,95,94	20,10,6,29,7,6	112,122,140,121,123,72	657	99	1	1.0	NA,NA,0.007,0.012,0.022,0.022	0.026,0.012,0.006,0.035,0.009,0.012	-0.001
1202	"ENSMUSG00000028423.15"	"Nfx1"	chr4	+	41015202	41016150	41015202	41015433	41016076	41016150	1202	0,0,39,62,71,78	0,0,17,16,11,6	76,55,56,87,70,120	18,17,25,11,6,12	742	99	1	1.0	NA,NA,0.234,0.341,0.463,0.634	0.36,0.302,0.23,0.513,0.609,0.572	-0.013
1213	"ENSMUSG00000040359.14"	"Ufl1"	chr4	-	25269027	25270618	25269027	25269174	25270559	25270618	1213	0,0,34,39,41,27	0,0,48,56,76,57	39,63,22,48,31,44	55,80,91,69,73,68	1484	99	1	1.0	NA,NA,0.045,0.044,0.035,0.031	0.045,0.05,0.016,0.044,0.028,0.041	0.001
1221	"ENSMUSG00000040455.17"	"Usp45"	chr4	+	21834234	21837872	21834234	21834571	21836573	21837872	1221	0,0,571,881,797,721	0,0,0,0,0,0	879,765,861,835,835,895	0,0,0,0,0,2	2101	99	1	1.0	NA,NA,1.0,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,0.955	0.007
1272	"ENSMUSG00000051517.14"	"Arhgef39"	chr4	-	43497086	43497710	43497086	43497316	43497581	43497710	1272	0,0,3,2,0,4	0,0,0,4,4,2	10,4,9,9,5,4	5,3,2,1,3,3	364	99	1	1.0	NA,NA,1.0,0.12,0.0,0.352	0.352,0.266,0.55,0.71,0.312,0.266	-0.041
1273	"ENSMUSG00000051517.14"	"Arhgef39"	chr4	-	43498895	43499337	43498895	43499016	43499242	43499337	1273	0,0,0,0,0,10	0,0,1,0,5,2	0,3,0,1,2,0	8,12,14,20,4,1	325	99	1	1.0	NA,NA,0.0,NA,0.0,0.604	0.0,0.071,0.0,0.015,0.132,0.0	0.165
1354	"ENSMUSG00000036062.13"	"Phf24"	chr4	+	42933615	42933997	42933615	42933667	42933778	42933997	1354	0,0,224,149,179,195	0,0,49,40,43,38	159,105,112,150,170,150	37,18,17,46,48,50	210	99	1	1.0	NA,NA,0.683,0.637,0.662,0.708	0.67,0.733,0.756,0.606,0.625,0.586	0.01
1518	"ENSMUSG00000028456.18"	"Unc13b"	chr4	+	43257846	43258302	43257846	43257935	43258149	43258302	1518	0,0,2,3,0,2	0,0,16,21,17,18	6,6,2,5,1,0	42,47,35,39,18,25	313	99	1	1.0	NA,NA,0.038,0.043,0.0,0.034	0.043,0.039,0.018,0.039,0.017,0.0	0.003
1558	"ENSMUSG00000028410.13"	"Dnaja1"	chr4	+	40726104	40728183	40726104	40726209	40727955	40728183	1558	0,0,53,97,117,149	0,0,940,1284,1184,1159	102,87,102,86,72,87	1500,1170,1338,1462,1411,1492	1845	99	1	1.0	NA,NA,0.003,0.004,0.005,0.007	0.004,0.004,0.004,0.003,0.003,0.003	0.001
1570	"ENSMUSG00000028464.16"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	1570	0,0,0,0,0,4	0,0,2,4,2,3	0,3,0,2,2,1	2,0,0,1,4,4	637	99	1	1.0	NA,NA,0.0,0.0,0.0,0.172	0.0,1.0,NA,0.237,0.072,0.037	-0.226
1615	"ENSMUSG00000028245.15"	"Nsmaf"	chr4	-	6417164	6417877	6417164	6417207	6417745	6417877	1615	0,0,72,46,60,64	0,0,45,36,80,39	78,46,57,64,57,43	65,68,99,28,50,61	637	99	1	1.0	NA,NA,0.199,0.166,0.104,0.203	0.157,0.095,0.082,0.262,0.151,0.099	0.027
1616	"ENSMUSG00000028245.15"	"Nsmaf"	chr4	-	6420049	6421136	6420049	6420140	6421056	6421136	1616	0,0,4,16,11,23	0,0,41,30,63,44	6,10,6,8,6,7	45,42,78,41,34,54	1015	99	1	1.0	NA,NA,0.009,0.049,0.017,0.049	0.013,0.023,0.007,0.019,0.017,0.012	0.016
1814	"ENSMUSG00000035539.14"	"Ccdc180"	chr4	+	45899956	45900272	45899956	45900085	45900161	45900272	1814	0,0,0,0,0,0	0,0,2,9,1,3	3,0,1,1,2,0	4,5,4,7,8,5	175	99	1	1.0	NA,NA,0.0,0.0,0.0,0.0	0.298,0.0,0.124,0.075,0.124,0.0	-0.103
1859	"ENSMUSG00000028455.15"	"Stoml2"	chr4	-	43028937	43029358	43028937	43029066	43029278	43029358	1859	0,0,1,5,8,7	0,0,347,288,268,252	5,4,7,6,3,1	358,328,426,357,305,295	311	99	1	1.0	NA,NA,0.001,0.005,0.009,0.009	0.004,0.004,0.005,0.005,0.003,0.001	0.002
1991	"ENSMUSG00000029661.16"	"Col1a2"	chr6	+	4508939	4509639	4508939	4508954	4509603	4509639	1991	0,0,1,0,0,3	0,0,23,31,15,9	4,0,1,0,0,0	11,21,16,17,34,33	748	99	1	1.0	NA,NA,0.006,0.0,0.0,0.042	0.046,0.0,0.008,0.0,0.0,0.0	0.003
1992	"ENSMUSG00000029661.16"	"Col1a2"	chr6	+	4534580	4535488	4534580	4534688	4535380	4535488	1992	0,0,4,0,0,4	0,0,8,13,9,20	0,4,0,0,0,0	8,15,14,6,12,13	791	99	1	1.0	NA,NA,0.059,0.0,0.0,0.024	0.0,0.032,0.0,0.0,0.0,0.0	0.015
2054	"ENSMUSG00000032827.15"	"Ppp1r9a"	chr6	+	5134016	5134932	5134016	5134174	5134638	5134932	2054	0,0,19,27,52,30	0,0,0,0,0,1	23,25,38,39,48,40	0,0,0,0,0,0	563	99	1	1.0	NA,NA,1.0,1.0,1.0,0.841	1.0,1.0,1.0,1.0,1.0,1.0	-0.04
2055	"ENSMUSG00000032827.15"	"Ppp1r9a"	chr6	+	5134016	5134932	5134016	5134174	5134688	5134932	2055	0,0,23,27,57,33	0,0,14,14,27,10	23,26,41,40,49,40	32,23,24,40,40,35	613	99	1	1.0	NA,NA,0.21,0.237,0.254,0.348	0.104,0.154,0.216,0.139,0.165,0.156	0.107
2119	"ENSMUSG00000040044.11"	"Orc3"	chr4	-	34597307	34598756	34597307	34597441	34598607	34598756	2119	0,0,33,73,67,69	0,0,116,133,123,111	89,71,44,52,56,107	145,102,155,122,123,109	1265	99	1	1.0	NA,NA,0.022,0.041,0.041,0.046	0.046,0.052,0.022,0.032,0.034,0.071	-0.005
2409	"ENSMUSG00000047193.16"	"Dync2h1"	chr9	-	7168458	7169709	7168458	7168572	7169476	7169709	2409	0,0,6,2,4,2	0,0,3,3,0,0	0,9,0,4,14,1	0,0,0,0,1,0	1003	99	1	1.0	NA,NA,0.165,0.062,1.0,1.0	NA,1.0,NA,1.0,0.58,1.0	-0.338
3160	"ENSMUSG00000049723.14"	"Mmp12"	chr9	+	7347405	7348832	7347405	7347538	7348526	7348832	3160	0,0,7,10,8,4	0,0,1,0,0,0	4,2,12,14,8,13	0,1,1,1,0,1	1087	99	1	1.0	NA,NA,0.389,1.0,1.0,1.0	1.0,0.154,0.522,0.56,1.0,0.542	0.218
3452	"ENSMUSG00000028453.10"	"Fancg"	chr4	-	43003226	43003932	43003226	43003312	43003782	43003932	3452	0,0,9,19,16,14	0,0,2,1,3,0	19,17,19,16,5,21	2,1,1,6,3,2	569	99	1	1.0	NA,NA,0.439,0.768,0.481,1.0	0.623,0.747,0.768,0.317,0.225,0.646	0.118
3453	"ENSMUSG00000028453.10"	"Fancg"	chr4	-	43003226	43003932	43003226	43003344	43003782	43003932	3453	0,0,4,7,10,8	0,0,21,17,14,21	8,4,4,6,1,13	33,38,22,26,33,15	537	99	1	1.0	NA,NA,0.034,0.071,0.116,0.066	0.043,0.019,0.032,0.041,0.006,0.138	0.025
3454	"ENSMUSG00000028453.10"	"Fancg"	chr4	-	43006983	43007403	43006983	43007114	43007267	43007403	3454	0,0,4,3,4,1	0,0,21,15,17,17	3,4,4,4,5,2	12,17,20,8,14,23	252	99	1	1.0	NA,NA,0.07,0.073,0.085,0.023	0.089,0.085,0.073,0.164,0.123,0.033	-0.032
3525	"ENSMUSG00000036073.17"	"Galt"	chr4	+	41756512	41756811	41756512	41756561	41756681	41756811	3525	0,0,21,32,20,19	0,0,61,47,50,42	16,19,23,26,46,13	40,48,55,29,63,53	219	99	1	1.0	NA,NA,0.135,0.235,0.153,0.17	0.153,0.152,0.159,0.288,0.248,0.1	-0.01
3526	"ENSMUSG00000036073.17"	"Galt"	chr4	+	41756512	41756995	41756512	41756561	41756938	41756995	3526	0,0,28,38,41,28	0,0,18,8,15,12	21,25,27,35,54,26	11,14,14,10,13,17	476	99	1	1.0	NA,NA,0.244,0.497,0.362,0.327	0.284,0.271,0.286,0.421,0.463,0.241	0.03
3527	"ENSMUSG00000036073.17"	"Galt"	chr4	+	41756512	41756995	41756512	41756811	41756938	41756995	3527	0,0,8,6,21,10	0,0,76,52,51,51	9,7,4,10,8,12	66,72,84,45,85,71	226	99	1	1.0	NA,NA,0.044,0.048,0.153,0.079	0.056,0.041,0.02,0.089,0.04,0.069	0.028
3528	"ENSMUSG00000036073.17"	"Galt"	chr4	+	41758083	41758695	41758083	41758238	41758502	41758695	3528	0,0,14,4,22,10	0,0,50,44,60,37	9,15,9,10,5,9	48,42,40,47,59,42	363	99	1	1.0	NA,NA,0.071,0.024,0.091,0.069	0.049,0.089,0.058,0.055,0.023,0.055	0.009
3713	"ENSMUSG00000025888.6"	"Casp1"	chr9	+	5299279	5299865	5299279	5299546	5299802	5299865	3713	0,0,1,1,12,6	0,0,61,66,58,37	0,0,3,0,1,0	57,36,69,39,78,49	355	99	1	1.0	NA,NA,0.005,0.004,0.055,0.043	0.0,0.0,0.012,0.0,0.004,0.0	0.024
3714	"ENSMUSG00000025888.6"	"Casp1"	chr9	+	5302416	5303171	5302416	5302529	5302997	5303171	3714	0,0,10,3,6,8	0,0,24,32,33,25	1,11,18,5,14,14	35,21,29,25,45,20	567	99	1	1.0	NA,NA,0.068,0.016,0.031,0.053	0.005,0.084,0.098,0.034,0.052,0.109	-0.022
3715	"ENSMUSG00000025888.6"	"Casp1"	chr9	+	5303539	5303774	5303539	5303597	5303701	5303774	3715	0,0,45,75,57,38	0,0,0,0,3,2	62,50,48,45,47,65	0,0,0,0,0,0	203	99	1	1.0	NA,NA,1.0,1.0,0.903,0.903	1.0,1.0,1.0,1.0,1.0,1.0	-0.048
3716	"ENSMUSG00000025888.6"	"Casp1"	chr9	+	5303539	5304327	5303539	5303774	5304186	5304327	3716	0,0,0,4,2,0	0,0,28,55,27,17	0,8,0,0,0,1	18,25,30,20,19,33	511	99	1	1.0	NA,NA,0.0,0.014,0.014,0.0	0.0,0.058,0.0,0.0,0.0,0.006	-0.004
3776	"ENSMUSG00000061322.15"	"Dnaic1"	chr4	+	41632139	41632488	41632139	41632288	41632388	41632488	3776	0,0,7,9,27,16	0,0,10,5,14,5	24,17,25,16,10,27	10,12,18,17,4,8	199	99	1	1.0	NA,NA,0.258,0.472,0.49,0.614	0.544,0.413,0.409,0.319,0.554,0.627	-0.019
3958	"ENSMUSG00000006740.14"	"Kif5b"	chr18	-	6210699	6211252	6210699	6210804	6211191	6211252	3958	0,0,15,15,12,19	0,0,2,0,0,0	14,11,9,27,14,19	0,0,0,0,0,0	486	99	1	1.0	NA,NA,0.604,1.0,1.0,1.0	1.0,1.0,1.0,1.0,1.0,1.0	-0.099
