decoyID	oryAfe1	vicPac2	allMis1	dasNov3	gadMor1	papAnu2	eptFus1	pteAle1	octDeg1	melUnd1	hapBur1	otoGar3	eleEdw1	chrAsi1	felCat8	galGal4	panTro4	chiLan1	criGri1	pelSin1	tupChi1	latCha1	ficAlb2	bosTau8	macFas5	myoDav1	canFam3	turTru2	capHir1	loxAfr3	musFur1	fr3	nomLeu3	mesAur1	gorGor3	chlSab2	cheMyd1	cavPor3	eriEur2	equCab2	hg38	orcOrc1	petMar2	jacJac1	anoCar2	anaPla1	triMan1	calJac3	oryLat2	geoFor1	pteVam1	astMex1	myoLuc2	mm10	hetGla2	oreNil2	monDom5	ponAbe2	odoRosDiv1	chrPic2	ailMel1	falPer1	susScr3	ochPri3	ornAna1	micOch1	neoBri1	amaVit1	punNye1	oryCun2	rn6	rheMac3	colLiv1	falChe1	araMac1	oviAri3	sorAra2	xipMac1	apaSpi1	lepOcu1	saiBol1	speTri2	gasAcu1	sarHar1	echTel2	tetNig2	panHod1	pseHum1	melGal1	macEug2	lepWed1	cerSim1	zonAlb1	camFer1	takFla1	taeGut2	mayZeb1	danRer10	xenTro7	conCri1	max_spliceai_score
SLTM_58887583_D	2.4e-05	0.002706	1.5e-05	0.102084	-1	0.05473	0.339047	0.03756	3e-06	7e-06	0.001858	0.04866	0.000145	0.000467	0.001498	5e-06	0.034261	8e-06	9.8e-05	-1	0.004574	-1	-1	0.001948	0.05473	0.235959	0.202005	0.216781	0.00123	0.032256	0.85154	-1	0.05473	6e-05	0.05473	0.05473	-1	-1	0.002834	0.199516	0.05473	0.216781	-1	2e-05	0	0.001697	0.000383	0.037021	-1	0.005179	0.03756	-1	0.063454	0.000326	0.000116	1.1e-05	0.004891	0.05473	0.093584	-1	0.044991	0	0.000579	0.000636	-1	7e-04	0.001858	5e-06	0.001858	0.001836	0.002744	0.05473	0	0	-1	0.00123	0.045584	1.9e-05	-1	1e-06	0.037021	0.083816	-1	0.000459	0.046355	0.014129	0.043477	0.003248	5e-06	-1	0.134752	0.044732	0.00372	0.002706	-1	0.004424	0.001858	0	-1	0.055003	0.85154
PRDX1_45517237_D	0.569317	0.17247	-1	0.181425	-1	0.403077	0.319526	0.002256	0.00198	-1	-1	-1	0.068566	0.457823	0.025884	-1	0.006522	0.448369	0.017157	-1	0.370611	-1	-1	0.326085	0.403077	-1	0.425796	0.567078	0.150306	0.614408	0.012065	-1	0.297126	2.8e-05	0.373405	0.425318	-1	0.00836	0.143191	0.416486	0.373405	0.567078	-1	0.009237	-1	-1	0.850383	0.114687	-1	-1	0.004255	-1	0.29458	0.051134	0.047019	-1	-1	0.014631	0.383131	-1	0.359243	-1	0.26433	0.004187	-1	0.016219	-1	-1	-1	0.000135	0.035205	0.403077	-1	-1	-1	0.150306	-1	-1	-1	-1	0.05109	0.130537	-1	-1	0.001598	-1	0.150306	-1	-1	-1	0.020318	0.368811	-1	0.17247	-1	-1	-1	-1	-1	0.000469	0.850383
SCN3A_165141622_D	0.66689	6.2e-05	0	0.848072	-1	0.728246	8e-05	0.000724	9.4e-05	-1	4e-05	0.638774	0.621609	0.000667	0.501284	-1	0.703095	0.131966	7e-06	-1	0.680007	-1	-1	0.000589	0.728246	0.000102	0.654449	0.019317	0.000413	0.683679	0.620654	-1	0.752056	1.4e-05	0.703095	0.614978	-1	7.2e-05	5.2e-05	0.4408	0.703095	0.007977	-1	0.067532	-1	-1	0.676934	0.614978	0.000149	-1	0.538998	-1	0.005569	0.000391	0.103209	-1	3e-05	0.648861	0.666489	-1	0.66265	-1	0.581773	0.667179	-1	0.000245	-1	1e-06	4e-05	0.684681	0.000299	0.728246	-1	0.006228	-1	0.000413	0.741837	3e-06	-1	-1	0.695971	0.085781	-1	1.3e-05	0.000137	-1	0.000413	-1	-1	-1	0.66265	0.656998	-1	0.000195	-1	-1	-1	-1	-1	0.563971	0.848072
MYRF_61769579_D	0.778772	0.723181	-1	0.74677	-1	0.665371	0.684286	0.71481	0.550879	0	-1	0.717684	0.775476	0.595924	0.749265	-1	0.701559	0.718254	0.448534	0.041098	0.752322	-1	2e-04	0.559909	0.665371	-1	0.424523	0.803168	0.613277	0.666985	0.577857	-1	0.708351	0.481106	0.701559	0.665371	5e-06	0.359228	0.617335	0.801938	0.701559	0.781903	-1	0.691089	-1	2e-06	0.742644	0.740275	-1	0.000239	0.71481	-1	0.656489	0.539491	0.407289	-1	2e-04	0.688382	0.749265	1.2e-05	0.62424	0.004221	0.776262	0.708029	0.846466	0.505543	-1	5e-06	-1	0.836985	0.459054	0.665371	0.06228	0.004221	-1	0.613277	0.829657	-1	-1	-1	0.740275	0.729411	-1	7e-06	0.67803	-1	0.613277	2e-06	-1	-1	0.749265	0.646917	-1	0.723181	-1	0.000195	-1	-1	0.000271	0.656281	0.846466
TBX1_19757130_D	0.01095	0.378204	4.5e-05	0.011391	-1	0.192878	0.002927	0.000617	0.702349	3.3e-05	-1	0.143259	0.108067	0.031836	0.56818	1.1e-05	0.229978	0.621713	0.076454	-1	0.091937	-1	0.002214	0.00013	0.192878	0.004358	0.152063	0.302859	-1	0.722643	0.570572	-1	0.25654	0.051802	0.229978	0.152639	0.002582	0.611254	0.203899	0.339291	0.229978	0.302859	-1	0.000194	-1	-1	0.843953	0.390749	-1	-1	0.000617	-1	0.004286	0.000298	0.444646	-1	8.8e-05	0.01912	0.5461	1e-06	0.524547	-1	0.34994	0.0333	0.000329	0.349591	-1	-1	-1	0.004226	0.000186	0.192878	2e-06	-1	-1	-1	0.663129	-1	-1	-1	0.486372	0.443776	-1	0.091406	0.400573	-1	0.000298	0.000321	-1	-1	0.459158	0.714666	-1	-1	-1	1.2e-05	-1	-1	-1	0.007791	0.843953
FAM26E_116514341_D	0.644712	0.017437	-1	0.206023	-1	0.04355	0.559629	0.481551	-1	-1	-1	0.000652	-1	0.080034	0.62616	-1	0.085346	0.079097	0.020298	-1	4e-06	-1	-1	0.059306	0.04355	0.223917	0.684284	0.661001	0.103294	0.841222	0.62502	-1	0.04247	0.025964	0.085346	0.04355	-1	0.171305	0.025899	0.096472	0.097665	0.250232	-1	0.264926	-1	-1	-1	0.063347	-1	-1	0.378802	-1	0.098536	0.052972	0.05127	-1	-1	0.031444	0.28157	-1	0.175112	-1	0.007347	-1	-1	0.000704	-1	-1	-1	0.441575	0.013194	0.04355	-1	-1	-1	0.103294	0.729476	-1	-1	-1	0.097561	0.02353	0.000675	-1	-1	-1	0.015799	-1	-1	-1	0.807858	0.141176	-1	0.018549	-1	-1	-1	-1	-1	0.217976	0.841222
ADGRF5_46880102_D	0.001823	0.000129	-1	3.1e-05	-1	0.239578	0.324398	0.271527	5.8e-05	-1	-1	0.000101	0.018709	0.242188	0.013061	-1	0.13306	0.000178	0.005816	-1	0.417071	-1	-1	0.000145	0.2932	0.347458	0.002779	0.002192	0.000311	0.840965	0.001386	-1	0.145009	0.007227	0.181105	0.239578	-1	8e-05	0	0.028652	0.13306	0.002192	-1	9.1e-05	-1	-1	0.133076	0.257479	-1	-1	0.412038	-1	0.222496	-1	0.000114	-1	0	0.264017	0.000432	-1	0.004055	-1	0.000815	0.000106	0.000619	-1	-1	-1	-1	6.6e-05	-1	0.2932	-1	-1	-1	0.049686	0.032057	-1	-1	-1	0.330515	3.3e-05	-1	1e-06	0.267716	-1	0.000177	-1	-1	0	0.000375	0.004161	-1	0.000228	-1	-1	-1	-1	-1	0.001682	0.840965
NAXD_110635119_D	0.001247	1e-06	-1	8.1e-05	-1	0.607048	0.000651	0.000356	0.001588	-1	-1	0.020275	0.048325	0.090884	0.001145	-1	0.581019	0.000234	0.000185	-1	0.001431	-1	-1	-1	0.839223	2.3e-05	0.003934	2e-06	-1	0.000556	0.473239	-1	0.631083	0.000677	0.464412	0.642229	-1	0.00054	-1	0.000801	0.593996	2e-06	-1	-1	-1	-1	0.001526	0.497818	-1	-1	-1	-1	7e-05	0.00014	0.045206	-1	-1	0.620419	0.042835	-1	0.006308	-1	0	-1	-1	0.001002	-1	-1	-1	-1	0.000139	0.839223	-1	-1	-1	3.4e-05	-1	-1	-1	-1	0.679531	0.024728	-1	-1	2.3e-05	-1	7.1e-05	-1	-1	-1	0.068329	0.000149	-1	0.393702	-1	-1	-1	-1	-1	-1	0.839223
UTP20_101305771_D	3.1e-05	0.000226	-1	0.000128	-1	0.019267	4.5e-05	1.1e-05	-1	-1	-1	0.000734	4e-05	0.000999	6.8e-05	-1	0.055405	-1	7.3e-05	-1	0.000267	-1	-1	8e-05	0.019267	0.000291	4e-06	0.009611	5.2e-05	0.000656	4.8e-05	-1	0.046148	-1	0.050871	0.024749	-1	-1	5.6e-05	1.5e-05	0.061061	0.009611	-1	0.000283	-1	-1	0.004334	0.012578	-1	-1	1.1e-05	-1	0.000652	1e-04	0.000144	-1	1.4e-05	0.021663	2.6e-05	-1	2.1e-05	2e-06	2.5e-05	0.82758	8e-06	-1	-1	-1	-1	0.000215	7e-06	0.019267	-1	2e-06	-1	9.1e-05	0.00026	-1	-1	-1	0.001677	0.000197	-1	-1	3.6e-05	-1	0.000144	-1	-1	-1	-1	0.001076	-1	8.8e-05	-1	1.4e-05	-1	8.7e-05	0.000133	0.000183	0.82758
CHAF1B_36408540_D	0.140924	0.20978	-1	0.014455	-1	0.354003	0.030435	0.280254	0.014012	-1	-1	3e-06	0.473781	0.698662	0.242569	-1	0.387162	0.000172	0.020853	-1	0.262838	-1	-1	0.017948	0.308442	0.392372	0.023533	0.01406	0.060133	0.034278	0.100774	-1	0.602323	0.032023	0.387162	0.825737	-1	-1	-1	0.017371	0.387162	0.250303	-1	0.284345	-1	-1	0.418813	0.326858	-1	-1	0.280254	-1	0.188134	0.00236	0.002525	-1	0.000316	0.383631	0.187687	-1	0.003125	-1	0.033781	0.000495	-1	0.0014	-1	-1	-1	0.007418	0.171312	0.308442	-1	-1	-1	0.032447	-1	-1	-1	-1	0.326479	0.284088	-1	0.00061	0.529555	-1	0.028114	-1	-1	-1	0.220464	0.142162	-1	0.728963	-1	-1	-1	-1	-1	-1	0.825737
SLU7_160408108_D	0.001576	0.023082	5.6e-05	0.046751	-1	0.134571	0.001048	0.00051	0.012333	2e-06	-1	0.005382	8.8e-05	0.000852	0.000325	6.1e-05	0.152578	0.005044	1.1e-05	0.00067	0.000311	3e-06	0.00039	0.000305	0.134571	3.9e-05	2.7e-05	0.001536	0.000476	0.347337	0.00017	8.5e-05	0.101652	7.8e-05	0.161162	0.152578	0.001253	0.000867	0.000434	0.000409	0.090988	0.001536	-1	0.825534	0.000133	1.7e-05	0.00058	0.245567	0.000139	1.2e-05	0.00051	-1	2.2e-05	0.004156	0.001019	0	0.000382	0.152578	4.8e-05	7e-04	0.000199	4e-06	0.071965	-1	0.000172	0.000122	1e-06	0.000166	-1	0.000301	0.03364	0.134571	5e-05	0.00038	0.000166	0.00036	0.000573	0	0.000716	4e-06	0.245567	2.5e-05	4e-06	0.000893	0.000557	1e-06	0.00036	6.9e-05	0.000234	0.004483	0.000224	0.000665	0.000243	0.005174	8.5e-05	4e-06	-1	0.001158	-1	0.000152	0.825534
ATP2A1_28904093_D	0.03648	0.12392	0	0.127466	-1	0.335022	0.192275	0.01975	0.023604	-1	-1	0.266008	0.432543	0.099849	0.296979	-1	0.282154	2e-06	0.164581	-1	0.016331	-1	0	0.086401	0.335022	0.25482	0.211152	0.161365	-1	0.001912	6.9e-05	-1	0.270675	-1	0.282154	0.396242	0	0.003253	0.218383	0.13548	0.282154	0.161365	-1	0.045651	-1	0	9e-05	0.264986	-1	-1	0.01975	-1	0.266591	0.117218	-1	-1	0.822061	0.282154	0.029495	0	1e-06	0	0.130743	0.070921	0.610121	0.055985	-1	-1	-1	2e-06	0.112977	0.335022	-1	-1	-1	0.008128	0.117746	-1	-1	-1	0.329489	5.9e-05	-1	0.744256	0.089858	2.1e-05	-1	-1	-1	0.596002	0.20784	0.166522	-1	0.143772	-1	0	-1	-1	-1	0.131921	0.822061
GBF1_102351745_D	0.218881	0.000229	-1	0.000248	-1	0.236101	5.4e-05	0.041591	0.000668	6e-06	-1	0.080474	0.00042	0.213728	0.009648	-1	0.194737	0.018675	0.216773	2.1e-05	2e-04	-1	1e-05	0.52538	0.320438	5.4e-05	0.032478	0.036798	0.726173	0.139871	0.130864	-1	0.060411	-1	0.194737	0.236101	-1	0.004337	0.038036	0.000926	0.194737	0.036798	-1	2e-06	0.001153	2e-06	0.420387	0.17406	9e-06	0.000931	0.041591	-1	5.4e-05	0	0.027859	-1	0.002189	0.194737	0.286437	0.001417	0.07646	0.006682	0.00054	0.017481	-1	0.084649	-1	0.021359	-1	0.000199	3e-06	0.320438	5.7e-05	0.004076	-1	0.632327	0.01418	-1	0.030286	-1	0.04835	0.006925	-1	0.001694	0.000262	-1	0.820632	0.000454	-1	0.012118	0.07646	0.009729	0.001304	0.000328	-1	0.000424	-1	-1	-1	1.3e-05	0.820632
EYA4_133467066_D	-1	-1	-1	-1	-1	3.8e-05	0.006929	0.025452	0.009808	-1	-1	0.000195	-1	-1	0.002608	-1	0.061301	0.040281	0.000255	-1	0.025545	-1	-1	-1	2.7e-05	0.009503	0.03885	0.034516	-1	-1	0.030744	-1	0.078986	-1	0.061301	2.7e-05	-1	0.000209	-1	0.003401	0.061301	0.024712	-1	0.000516	-1	-1	0.005888	0.024273	-1	-1	0.022475	-1	0.010149	0.348645	0.017239	-1	-1	0.048866	0.034431	-1	0.032781	-1	0.026226	2.8e-05	-1	0.117586	-1	-1	-1	0.001105	0.817691	2.7e-05	-1	-1	-1	-1	0.000974	-1	-1	-1	0.04589	0.002529	-1	-1	-1	-1	-1	-1	-1	-1	0.034431	0.002117	-1	-1	-1	-1	-1	-1	-1	0.142773	0.817691
COL5A2_189050115_D	0.001729	0.003517	-1	0.001822	-1	0.301928	0.013584	0.005111	0.00985	-1	-1	0.025722	0.001687	3.6e-05	0.002755	-1	0.382511	0.028267	2e-06	-1	0.056468	-1	-1	0.006724	0.301928	0.016482	0.000375	0.007264	0.00619	0.002659	0.012811	-1	0.382511	0.00017	0.382511	0.301928	-1	0.065823	2e-05	0.003398	0.382511	0.007851	-1	0.01195	-1	-1	0.006382	0.095029	-1	-1	0.003675	-1	-1	6.2e-05	0.130071	-1	2e-06	0.382511	0.001814	-1	0.000455	-1	0.005463	0.002402	-1	6e-06	-1	-1	-1	0.048102	0.000599	0.301928	-1	-1	-1	0.003917	0.000313	-1	-1	-1	0.045603	0.000218	-1	0.815587	9e-06	-1	0.00619	-1	-1	-1	0.001377	0.001722	-1	0.00016	-1	-1	-1	0.000178	-1	1e-06	0.815587
TSPOAP1_58324381_D	0.722988	0.666815	0	0.516517	-1	0.754372	0.554872	0.738791	0.531851	9.1e-05	-1	0.665102	0.588841	0.723809	0.652607	0	0.687764	0.421158	0.493204	0	0.495002	-1	-1	0.748407	0.754372	0.592446	0.815585	0.647333	-1	0.584932	0.087453	-1	0.726115	0.469357	0.687764	0.754372	0	0.51127	0.749007	0.647637	0.687764	0.670191	-1	0.678233	1.4e-05	-1	0.598101	0.427298	-1	-1	0.738791	-1	0.668358	0.62704	0.638597	-1	0.00016	0.728518	0.692308	0	0.772382	2.2e-05	0.77888	0.629849	0.01011	0.480324	-1	-1	-1	0.616342	0.62704	0.754372	-1	-1	0.000104	0.720665	0.738882	-1	-1	0.8098	0.724321	0.430533	-1	0.000334	0.694191	-1	0.593918	0	1e-06	-1	0.772382	0.778452	1.7e-05	0.042723	-1	0.019324	-1	-1	0.033887	0.646916	0.815585
AGBL3_135077199_D	-1	0.001366	-1	-1	-1	0.314091	-1	0.200233	0.000427	-1	-1	-1	-1	-1	0.089469	-1	0.233355	-1	0.000687	-1	-1	-1	-1	0.483022	0.314091	-1	0.417595	0.814694	0.554731	-1	0.10962	-1	0.277603	0.341066	0.230264	0.314091	-1	0.007802	-1	-1	0.233355	0.814694	-1	0.059667	-1	-1	-1	0.211409	-1	-1	0.278663	-1	0.601944	0.099817	-1	-1	-1	0.303514	0.71805	-1	0.579924	-1	0.213155	-1	-1	0.078944	-1	-1	-1	-1	0.027741	0.314091	-1	-1	-1	0.022198	-1	-1	-1	-1	0.211409	0.214318	-1	-1	-1	-1	0.315877	-1	-1	-1	0.661561	0.383003	-1	0.002948	-1	-1	-1	-1	-1	-1	0.814694
STX3_59794607_D	0.527276	0.503183	0.701423	-1	-1	0.555911	0.535516	0.602532	0.410815	-1	-1	0.411704	0.708344	0.555881	0.384612	-1	0.59676	0.53473	0.419647	0.75128	0.729945	-1	-1	0.549121	0.555911	0.535516	-1	0.538033	0.549121	0.591683	0.539049	-1	0.473089	0.430748	0.59676	0.555911	0.776757	0.51847	0.459907	0.685576	0.59676	0.538033	-1	0.446173	0.646581	-1	0.582148	0.658838	-1	-1	0.56987	-1	0.535516	0.369699	0.419475	-1	0.669231	0.608099	0.536372	0.790449	0.564952	-1	0.474469	0.423473	0.813206	0.470974	-1	-1	-1	0.530022	0.432815	0.555911	-1	-1	-1	0.549121	0.654007	-1	0.654129	-1	0.658838	0.535671	-1	-1	0.545433	-1	0.489217	-1	-1	-1	0.536372	0.407101	-1	0.503183	-1	-1	-1	-1	-1	0.696088	0.813206
